Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:19Ksv4l3urqTX1y6jyInec,"It's Rained All Day","Nimbus EP","Jaeden Camstra",2017-03-31,69706,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:09Z,"低保真,低保真节拍乐,低保真嘻哈","VinDig",0.788,0.224,1,-14.372,1,0.0423,0.393,0.47,0.0998,0.468,99.047,4
spotify:track:5VqCEVBScatH05aM7KbABm,"Juvenescence","Juvenescence","Verzache",2017-03-09,150167,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:12Z,"","Zach's cool label",0.837,0.36,2,-8.864,1,0.0516,0.773,0.174,0.132,0.457,89.529,4
spotify:track:3bGIazLV2xUHJrEfLyr9rN,"If Only","Dreams for Two","Rook1e",2017-09-07,67418,37,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:13Z,"低保真,低保真节拍乐,低保真嘻哈","702106 Records DK",0.555,0.112,11,-14.516,1,0.0962,0.976,0.929,0.106,0.33,72.143,4
spotify:track:7yx6HmqFpycPzx278KIEq7,"Ramona","TECHNICOLOUR Vol. 1","ieuan",2019-07-26,241804,0,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:14Z,"","ieuan",0.783,0.414,8,-10.171,0,0.048,0.678,0,0.203,0.303,133.044,4
spotify:track:4F0ptEqZa9ZbTu8t4g5FuR,"Fairytale","Sadnecessary","Milky Chance",2014-06-20,256000,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:15Z,"","Neon",0.756,0.806,7,-9.188,0,0.0309,0.0741,0.162,0.101,0.938,106.023,4
spotify:track:3emLLnEA7nSaGM1gUogcSZ,"Lullaby","Naked Lunch","Mt. Marcy",2016-03-29,65857,15,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:15Z,"低保真,低保真嘻哈,低保真节拍乐","mt. marcy and friends",0.265,0.219,4,-22.526,1,0.0324,0.992,0.655,0.159,0.152,82.213,3
spotify:track:19vA9vjtcyFNDrGixsYozl,"Bawling","Lucky You!","Primary;OHHYUK",2015-03-24,243175,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:16Z,"韩国嘻哈,韩语抒情曲","Stone Music Entertainment",0.757,0.624,1,-7.529,0,0.255,0.489,0.00853,0.102,0.485,87.017,4
spotify:track:7MkIeiEYcRB9e9tIX8vvol,"其實我一直都想對你說","拉活…莫文蔚","莫文蔚",2007-11-22,267410,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:17Z,"华语流行音乐,汉语流行音乐,台湾流行音乐,粤语流行","Epic",0.72,0.382,3,-10.233,1,0.043,0.819,0,0.0885,0.104,124.022,4
spotify:track:0JUWF44gfMszGNhjCF7Ufs,"Midnight Pretenders","浮遊空間","亜蘭知子",1983,345266,65,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:19Z,"城市流行音乐","WM Japan",0.757,0.337,0,-14.937,0,0.0313,0.2,0,0.0677,0.559,92.864,4
spotify:track:3fr7iN6pOKGZwgis4mIgBI,"Reunion Waltz","「パーフェクトワールド 君といる奇跡」オリジナル・サウンドトラック","羽毛田丈史",2018-10-03,79160,16,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:20Z,"日本古典音乐","SHOCHIKU RECORDS",0.691,0.175,0,-12.383,0,0.0304,0.978,0.946,0.108,0.371,137.98,3
