Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3RnRkv7SrQXYe7Jtn7Jfyz,"未接來電","楊乃文TIMEQUAKE 演唱會現場實錄","楊乃文",2015-06-05,281531,15,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:24Z,"台湾流行音乐,中国独立音乐,台湾独立音乐,华语流行音乐,汉语流行音乐,中国摇滚","AsiaMuse",0.279,0.276,7,-12.442,0,0.0292,0.683,0.0000108,0.697,0.175,73.823,4
spotify:track:702x8VYOyJQBuI0KufjQVY,"接受","燕尾蝶<下定愛的決心>","梁靜茹",2004-09-10,279933,56,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:26Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Rock Records Co., Ltd.",0.562,0.546,5,-8.167,1,0.0276,0.229,0,0.157,0.211,119.968,4
spotify:track:6Vm5deMsK8lEDRnm9r5VXQ,"等一個晴天","淳.佳. (新歌+精選)","蔡淳佳",2006-11-10,267066,38,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:28Z,"华语流行音乐,汉语流行音乐,台湾流行音乐","WM Singapore",0.54,0.476,0,-8.567,1,0.0294,0.131,0,0.123,0.132,85.023,4
spotify:track:0slUosFqoMpI7ZAA8SafHB,"Curtain","Anna Karenina (Original Music From The Motion Picture)","Dario Marianelli",2012-01-01,113893,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:33Z,"配乐","Decca (UMO)",0.14,0.355,2,-14.442,0,0.0461,0.933,0.814,0.178,0.053,68.152,4
spotify:track:3LEPREssVmJS9F2X4HLYpR,"Tetramery","Field Drawings","Ryan Teague",2012-02-20,237000,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:35Z,"氛围,新古典,当代古典音乐","Village Green",0.716,0.351,7,-12.015,0,0.0515,0.992,0.8,0.0869,0.613,131.987,3
spotify:track:3eAb7kTpzDdAxxqWzmwlGl,"As It (Perhaps) Was","I Capture The Castle","Dario Marianelli",2003,209160,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:36Z,"配乐","Moviescore Media",0.198,0.135,5,-15.697,1,0.0353,0.895,0.849,0.192,0.0521,91.71,4
spotify:track:5aaMPcWc1ANkAeqZcTRf90,"The Departure","Film Music 1980 - 2001","Michael Nyman",2001-01-01,229160,47,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:38Z,"极简主义,当代古典音乐,古典","Venture",0.0766,0.257,2,-14.082,0,0.0332,0.867,0.926,0.269,0.0418,177.979,3
spotify:track:1VoO7TVzu3wcxX8PHNiFJa,"Bee","Six Is Better Than Eight","Detwiije",2003-08-01,295200,1,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:39Z,"后摇滚","iMD-Detwiije Records",0.377,0.662,0,-7.082,1,0.0318,0.102,0.878,0.144,0.0377,103.545,4
spotify:track:2MJQv4ZNZ306pLmfoiKH3T,"Revenge","Nocturnal Animals (Original Motion Picture Soundtrack)","Abel Korzeniowski",2016-11-04,195173,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:40Z,"","Back Lot Music",0.431,0.0889,0,-23.922,0,0.0357,0.952,0.92,0.108,0.12,96.041,3
spotify:track:40UlFC0dIxv7lAEJaPZLnm,"Alone in Kyoto","Talkie Walkie","Air",2004-01-26,291000,60,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:40:42Z,"神游舞曲,缓拍音乐","Parlophone (France)",0.525,0.366,0,-16.488,1,0.0718,0.958,0.751,0.137,0.0785,179.956,4
