Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4SFBV7SRNG2e2kyL1F6kjU,"The Well-Tempered Clavier I, Prelude & Fugue No. 1 in C Major, BWV 846: I. Prelude","Piano Book (Deluxe Edition)","Johann Sebastian Bach;郎朗",2019-03-29,139306,63,false,,2025-12-22T12:02:33Z,"巴洛克音乐,古典,古典钢琴,协奏曲,早期音乐","Deutsche Grammophon (DG)",0.234,0.126,0,-25.427,1,0.0446,0.989,0.896,0.102,0.216,133.998,4
spotify:track:17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Cello Suites Nos. 1, 5 & 6","Johann Sebastian Bach;馬友友",1983,152280,70,false,,2025-12-22T12:02:33Z,"巴洛克音乐,古典,古典钢琴,协奏曲,早期音乐,室内音乐","Sony Classical",0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,4
spotify:track:3zLTPuucd3e6TxZnu2dlVS,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Für Elise, Bagatelle No. 25 in A Minor, WoO 59","Ludwig van Beethoven;Igor Levit",2015,214086,66,false,,2025-12-22T12:02:33Z,"古典,古典钢琴,室内音乐","Sony Classical",0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,3
spotify:track:0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","Songs from the Arc of Life","Camille Saint-Saëns;馬友友;Kathryn Stott",2015-09-18,174266,65,false,,2025-12-22T12:02:33Z,"古典,室内音乐","Masterworks",0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,3
spotify:track:6pt8oGfiwgidz03nGw1zTb,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""on the G String""","Karajan A-Z: Adam - Bartók","Johann Sebastian Bach;David Bell;Berliner Philharmoniker;Herbert von Karajan",2024-09-27,360493,64,false,,2025-12-22T12:02:33Z,"巴洛克音乐,古典,古典钢琴,协奏曲,早期音乐,管弦乐,芭蕾舞,歌剧,印象主义音乐","Deutsche Grammophon (DG)",0.168,0.0698,2,-27.22,1,0.0471,0.924,0.934,0.126,0.047,112.654,3
spotify:track:1upQiytDIEZfl9ItruoXuC,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande","Handel Sarabande","George Frideric Handel;Alexander Briger;Academy of St. Martin in the Fields",2008-11-28,207266,66,false,,2025-12-22T12:02:33Z,"巴洛克音乐,古典,众赞歌,歌剧,早期音乐,室内音乐,协奏曲,管弦乐","Warner Classics",0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,3
spotify:track:712Pm7DCa8lL8dGZ7LdXQS,"Pachelbel: Canon and Gigue in D Major: Canon","Pachelbel: Canon in D Major","Johann Pachelbel;Sir Neville Marriner;Academy of St. Martin in the Fields",2023-11-03,300613,66,false,,2025-12-22T12:02:33Z,"古典,巴洛克音乐,协奏曲,管弦乐,室内音乐","Warner Classics",0.123,0.15,2,-16.647,1,0.035,0.714,0.913,0.103,0.0904,84.183,4
spotify:track:4FycxLfl7H5CQnqw9J6LXZ,"Palladio: I. Allegretto","Quirk","Karl Jenkins;Carmine Lauri;David Alberman;倫敦交響樂團",2008,226880,64,false,,2025-12-22T12:02:33Z,"新时代,众赞歌,古典,新古典,管弦乐,芭蕾舞,歌剧","Decca (UMO) (Classics)",0.53,0.339,2,-16.973,0,0.0419,0.567,0.874,0.102,0.0719,90.041,4
spotify:track:1cmigB9I6IRpFqjIbzvSQB,"Suite bergamasque, L. 75: III. Clair de lune","Debussy: Suite bergamasque, L. 75, 3. Clair de lune","Claude Debussy;Alice Sara Ott",2018-07-27,294960,70,false,,2025-12-22T12:02:33Z,"印象主义音乐,古典,古典钢琴","Deutsche Grammophon (DG)",0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,5
spotify:track:2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Tchaikovsky: Swan Lake","Pyotr Ilyich Tchaikovsky;André Previn;倫敦交響樂團",1976-01-01,166866,72,false,,2025-12-22T12:02:33Z,"芭蕾舞,古典,管弦乐,歌剧","Warner Classics",0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,4
spotify:track:1n9741DApqn5gvuxhgerCt,"Tales of Hoffmann: Barcarolle","I don't like classical music, but I really like this!","Jacques Offenbach;Arthur Fiedler;Boston Pops Orchestra",2014-06-13,215240,55,false,,2025-12-22T12:02:33Z,"古典,管弦乐","Sony Classical",0.168,0.256,2,-15.549,1,0.0341,0.932,0.175,0.384,0.134,90.072,4
spotify:track:68jYVASGpjeDmDjJMedDIv,"Méditation from Thaïs","Ultimate Classics","Jules Massenet;Nicola Benedetti;倫敦交響樂團;Daniel Harding",2026-02-28,337973,46,false,,2025-12-22T12:02:33Z,"古典,管弦乐,芭蕾舞,歌剧,协奏曲","UME - Global Clearing House",0.128,0.135,4,-20.278,0,0.0441,0.876,0.623,0.0856,0.0384,89.714,1
spotify:track:5fdp9rXfEixCGLM1Og4EN1,"Gnossienne No. 1","Gnossienne No. 1","Erik Satie;Alena Cherny",2013,296590,62,false,,2025-12-22T12:02:33Z,"印象主义音乐,古典钢琴,古典","Sony Classical/Sony Music",0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,4
spotify:track:4J0e4gEqaLQlG5EM0wws1K,"An der schönen blauen Donau, Waltz, Op. 314","Strauss, J.: An der schönen blauen Donau (The Blue Danube)","Johann Strauss II;Berliner Philharmoniker;Herbert von Karajan",1982-01-01,707173,61,false,,2025-12-22T12:02:33Z,"古典,管弦乐,芭蕾舞,歌剧,印象主义音乐,协奏曲","Deutsche Grammophon (DG)",0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.143,0.0936,94.736,4
spotify:track:0cqcRqZgkNHanWQ8slYA0v,"Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam","Mahler: Symphony No. 5","Gustav Mahler;Daniel Barenboim;Chicago Symphony Orchestra",1998-08-14,583293,59,false,,2025-12-22T12:02:33Z,"古典,管弦乐,古典钢琴,印象主义音乐,歌剧,室内音乐,表现主义","Warner Classics International",0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,4
spotify:track:5OenUWwcUBDltPyN1Hh40D,"Danse Macabre, Op. 40, R.171","Halloween Music","Camille Saint-Saëns;Orchestre Symphonique de Montréal;Andrew Wan;Kent Nagano",2021-10-27,442693,55,false,,2025-12-22T12:02:33Z,"古典,印象主义音乐,管弦乐,歌剧,极简主义,当代古典音乐,表现主义","UME - Global Clearing House",0.371,0.131,7,-23.899,0,0.0422,0.898,0.925,0.0847,0.0656,106.872,4
spotify:track:0k6P9cdEA9K3k0ASde2Kof,"Rodrigo: Concierto de Aranjuez: II. Adagio","Aranjuez","Joaquín Rodrigo;Thibaut García;Ben Glassberg;Orchestre National Du Capitole De Toulouse",2020-10-02,640266,57,false,,2025-12-22T12:02:33Z,"古典,弗拉门戈,歌剧,印象主义音乐","Warner Classics",0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,4
spotify:track:23ryVoyGTrfO3F0GblIfnz,"Elgar: Variations on an Original Theme, Op. 36 ""Enigma"": Variation IX. Nimrod","Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5","Edward Elgar;倫敦交響樂團;Sir Adrian Boult",1986,234133,57,false,,2025-12-22T12:02:33Z,"古典,管弦乐,芭蕾舞,歌剧","Warner Classics",0.0641,0.148,3,-18.171,1,0.0371,0.981,0.819,0.109,0.0359,70.443,3
spotify:track:3GecLjGMqzjmgkvy2v41Wf,"Ständchen in D Minor (After Schubert), S. 560","Liszt","Franz Liszt;Lise de la Salle",2011-08-23,357746,60,false,,2025-12-22T12:02:33Z,"古典钢琴,古典","naïve classique",0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,1
spotify:track:2u9VGZmVz7Rm01SfDgzcfA,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3","Liszt - My Piano Hero","Franz Liszt;郎朗",2011-07-25,293146,62,false,,2025-12-22T12:02:33Z,"古典钢琴,古典","Sony Classical",0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,3
spotify:track:3Zh035IdrO7lyMxq6kWkV0,"2 Arabesques, CD 74: No. 1, Andantino con moto","Debussy: Early and Late Piano Pieces","Claude Debussy;Steven Osborne",2022-10-07,210213,54,false,,2025-12-22T12:02:33Z,"印象主义音乐,古典,古典钢琴","Hyperion",0.266,0.0161,4,-32.681,1,0.0387,0.991,0.917,0.074,0.0398,71.09,4
spotify:track:4rrrn8OLrttq7r9RgNXalU,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto","Rachmaninov: Piano Concerto No.2","Sergei Rachmaninoff;Valentina Lisitsa;倫敦交響樂團;Michael Francis",2012-01-01,644272,63,false,,2025-12-22T12:02:33Z,"古典,古典钢琴,协奏曲,极简主义,管弦乐,芭蕾舞,歌剧","Decca Music Group Ltd.",0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,4
spotify:track:40gRh2ZURv5tYBo8yB9Lu3,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3","Ludwig van Beethoven;Paul Lewis",2007-09-25,315426,70,false,,2025-12-22T12:02:33Z,"古典,古典钢琴,室内音乐","harmonia mundi",0.183,0.00527,1,-37.264,0,0.0448,0.995,0.887,0.173,0.147,171.619,3
spotify:track:04eShjKTWijeJJqGnhxpYK,"Scheherazade: The Tale of the Kalendar Prince","Rimsky-Korsakov: Scheherezade","Nikolai Rimsky-Korsakov;Lars Hjalmar Joakim",1999-02-01,200360,59,false,,2025-12-22T12:02:33Z,"古典,管弦乐","Sony Classical",0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,3
spotify:track:02rRlAmPwf0PjuXFDZpo60,"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity","Holst: The Planets","Gustav Holst;Wiener Philharmoniker;Herbert von Karajan",2007-01-01,457946,23,false,,2025-12-22T12:02:33Z,"古典,管弦乐,歌剧,协奏曲","Decca Music Group Ltd.",0.266,0.24,7,-18.752,0,0.0358,0.948,0.797,0.0772,0.232,137.348,4
spotify:track:2mRUmSG3XGjFloqgAT2UJN,"Eine kleine Nachtmusik K. 525: Allegro","Mozart: Eine Kleine Nachtmusik","Wolfgang Amadeus Mozart;Andrew Watkinson",1998,352000,52,false,,2025-12-22T12:02:33Z,"古典,古典钢琴,歌剧,室内音乐,协奏曲","Sony Music Entertainment",0.366,0.139,7,-19.978,1,0.039,0.885,0.913,0.0725,0.31,139.478,4
spotify:track:2MSgFefjK0T7Iwjvr3OKqV,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo","Frédéric Chopin;Mikhail Pletnev",2000-01-01,266200,68,false,,2025-12-22T12:02:33Z,"古典钢琴,古典","Warner Classics",0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,4
spotify:track:1XgXZMVpP35zgy82UD2osT,"Andante festivo, JS 34b (Version for String Orchestra & Timpani)","Sibelius: Music From Timo Koivusalo's Film","Jean Sibelius;Sinfonia Lahti;Osmo Vänskä",2003-09-01,337840,53,false,,2025-12-22T12:02:33Z,"古典,印象主义音乐,协奏曲,管弦乐","BIS",0.145,0.161,7,-20.046,1,0.0428,0.484,0.927,0.16,0.0366,56.953,4
