Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,"Safe And Sound","In A Tidal Wave Of Mystery (Deluxe Edition)","Capital Cities",2013,192789,14,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:24Z,"","Capital Cities",0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
spotify:track:6yuv1tZamb3Iv68muPMdTb,"To Make You Feel My Love","Break The Silence","Jon Peter Lewis",2008-07-22,164545,5,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:25Z,"","Lieber Management",0.651,0.137,2,-10.009,1,0.0327,0.877,0.0000448,0.0975,0.229,76.605,3
spotify:track:6ljsoAhdh8YHli4JAcWKaa,"Royals","Morning Energy","Lorde",2020-06-12,189853,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:26Z,"","UME - Global Clearing House",0.665,0.476,7,-8.477,1,0.137,0.113,0,0.33,0.385,84.881,4
spotify:track:3mLitoS2ucznbqoIwyQCWw,"Things You Do","Psychotic Moose & The Soul Searchers (Wild 60s Punk Classics) [Remastered]","The Morning After",2014-05-05,150866,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:27Z,"","The Long Field",0.452,0.506,9,-14.22,0,0.0331,0.118,0.0000242,0.331,0.869,134.339,4
spotify:track:2UFzivuicW19oc2QNbjDRQ,"Come on Come On","Hollywood","Little Birdy",2006-10-16,232866,21,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:28Z,"","Eleven: A Music Company Pty Ltd",0.614,0.592,11,-4.011,1,0.0257,0.00691,0,0.228,0.398,100.048,4
spotify:track:40e9kU9Wd4vbedqSA7Io4n,"Notion","Only By The Night","Kings of Leon",2008-09-23,180840,61,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:29Z,"","RCA/Legacy",0.433,0.887,4,-5.111,1,0.047,0.00597,0.0000287,0.119,0.426,142.968,4
spotify:track:4AFwnrH5atiJoAd5xS5QtR,"The Man Who Can't Be Moved","The Script","The Script",2008-07-14,241373,75,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:30Z,"","Phonogenic",0.605,0.629,10,-5.051,1,0.0278,0.434,0,0.097,0.308,99.893,4
spotify:track:1Ab6RxeKl3e07zP7Get7CX,"Stupid Girls","I'm Not Dead","P!nk",2006-04-04,197173,58,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:32Z,"","LaFace/Legacy",0.683,0.886,4,-5.045,0,0.071,0.000738,0.00188,0.0524,0.566,100.04,4
spotify:track:387AyGsDBAc1I0GEdgXwLJ,"Grapevine Valentine (Acoustic Version)","Brave Love EP","Kingsfoil",2014-01-02,223177,9,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:33Z,"","Holiday Heart Records",0.553,0.584,9,-8.999,0,0.0419,0.697,0.00118,0.094,0.405,175.926,4
spotify:track:5Anh8jULgeUgciLHCR25Mk,"Like A Star","Corinne Bailey Rae","Corinne Bailey Rae",2006-01-01,243213,66,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:34Z,"","EMI Records",0.606,0.226,2,-10.617,0,0.0347,0.715,0.0001,0.35,0.142,122.711,4
spotify:track:4zXOUCBRI3DcPboKXZeFu5,"Kiss It Better","My Forever","He Is We",2010-01-01,245786,38,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:35Z,"","Motown",0.664,0.335,6,-7.336,1,0.0281,0.812,0,0.104,0.237,144.967,4
spotify:track:5PVvIgMWTkAyWxLhXxcfn5,"How Long Will I Love You","Electopop Hits","Ellie Goulding",2020-06-19,154435,4,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:36Z,"","UME - Global Clearing House",0.401,0.304,0,-9.19,1,0.0331,0.295,0.000645,0.118,0.173,61.246,5
spotify:track:33caYRuBFGkI5JaFMUeydz,"Shorty Don't Wait","Is There Anybody Out There?","A Great Big World",2014-01-20,251669,32,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:36Z,"","Epic",0.676,0.372,5,-8.278,1,0.0297,0.766,0,0.728,0.615,135.885,4
spotify:track:2XIp6piYEgJzpbYuFg9fcV,"Make It To Me","In The Lonely Hour (Japanese Edition)","Sam Smith",2014-01-01,162732,31,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:37Z,"柔和流行音乐","PLG - Capitol",0.456,0.379,1,-8.573,1,0.0685,0.631,0.0000031,0.0983,0.225,149.955,4
spotify:track:2ZA4uMlSZjaoWGFqP1tsLI,"Ordinary People","Get Lifted","John Legend",2005-12-06,281466,64,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T08:10:38Z,"柔和流行音乐,新灵魂乐","Getting Out Our Dreams/Sony Urban Music/Columbia",0.469,0.132,10,-14.001,1,0.0798,0.928,0,0.0873,0.36,66.989,3
