Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7DbtXoclIdBSaeMWxcTSSY,"GOMF (feat. GloRilla)","GOMF (feat. GloRilla)","Latto;GloRilla",2026-04-24,149640,62,false,,2026-04-24T04:02:22Z,"","Streamcut/RCA Records",0.67,0.801,6,-2.369,0,0.267,0.0228,0,0.141,0.81,162.142,4
spotify:track:5AIKM6zNiPi00rbWPnEq80,"Feeling On My Body","Feeling On My Body","Taffy;PLUTO",2025-12-05,157977,76,true,,2026-04-24T04:02:22Z,"","Taffy",0.717,0.772,9,-3.712,1,0.272,0.191,0,0.105,0.73,150.067,4
spotify:track:2HeqKWstr0XAYILHpRo5ra,"BOAT REMIX","BOAT REMIX","Trim;YKNIECE;BunnaB",2025-12-23,163636,67,true,,2026-04-24T04:02:22Z,"","Trim",0.863,0.76,1,-4.089,1,0.484,0.0341,0.00000386,0.0953,0.579,153.985,4
spotify:track:1lBkIZiPtUetgkMcSABu3h,"If You Want It","If You Want It","Sexyy Red",2025-12-26,182587,70,true,,2026-04-24T04:02:22Z,"","Rebel/gamma.",0.703,0.566,5,-6.119,0,0.0643,0.000766,0,0.316,0.227,140.115,4
spotify:track:7Cu72sNXv5n9vbHcXbSmgp,"Better Than Yours (feat. Youngboy Never Broke Again)","Better Than Yours (feat. Youngboy Never Broke Again)","Coi Leray;YoungBoy Never Broke Again",2026-03-20,160346,68,true,,2026-04-24T04:02:22Z,"","Trendsetter Studios / Epic Records",0.842,0.726,2,-3.966,1,0.216,0.0769,0,0.125,0.699,133.039,4
spotify:track:4fwJzG3arwvfC1ZbRdracJ,"Flo Jackson","Flo Jackson","Flo Milli",2026-01-21,143444,73,true,,2026-04-24T04:02:22Z,"","'94 Sounds/RCA Records",0.759,0.798,10,-6.425,0,0.0499,0.0126,0.00358,0.124,0.479,127.98,4
spotify:track:309ZKuood80t3ULYEZAqmQ,"Best Bitch","Best Bitch","BunnaB",2026-04-24,122185,42,true,,2026-04-24T04:02:22Z,"","Artist Partner Group",0.731,0.692,8,-7.196,0,0.319,0.0644,0,0.344,0.642,80.121,4
spotify:track:5CanskmqatfFbm9O9Epavt,"ErrTime (feat. Latto) [Remix]","ErrTime (feat. Latto) [Remix]","Cardi B;Latto",2025-09-23,146560,58,true,,2026-04-24T04:02:22Z,"","Atlantic Records",0.793,0.654,1,-5.92,1,0.158,0.0381,0,0.227,0.428,77.037,4
spotify:track:4eULTkHVLAhn5J5DOSNbdP,"WHIM WHAMIEE","WHIM WHAMIEE","PLUTO;YKNIECE",2025-02-03,141538,64,true,,2026-04-24T04:02:22Z,"","Motown Records",0.644,0.744,1,-7.323,1,0.106,0.000132,0,0.672,0.492,155.885,3
spotify:track:1QmTZzRri0uhYtXhUiAz06,"It Bitches","Yo Favorite Trappa Favorite Rappa","Sexyy Red",2026-04-15,169811,51,true,,2026-04-24T04:02:22Z,"","Rebel / gamma.",0.709,0.608,1,-5.521,1,0.343,0.0222,0,0.116,0.539,150.235,4
