Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1IHWl5LamUGEuP4ozKQSXZ,"Tití Me Preguntó","Un Verano Sin Ti","Bad Bunny",2022-05-06,243716,93,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
spotify:track:0SqqAgdovOE24BzxIClpjw,"Yo Perreo Sola","YHLQMDLG","Bad Bunny",2020-02-29,172127,84,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC",0.86,0.758,11,-5.16,1,0.0695,0.021,0.0000654,0.344,0.453,97.014,4
spotify:track:2DEZmgHKAvm41k4J3R2E9Y,"Safaera","YHLQMDLG","Bad Bunny;Jowell & Randy;Ñengo Flow",2020-02-29,295176,84,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC",0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,4
spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"Party","Un Verano Sin Ti","Bad Bunny;Rauw Alejandro",2022-05-06,227628,83,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC",0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4
spotify:track:59D4DOkspUbWyMmbAPQkxZ,"VOY A LLeVARTE PA PR","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,156364,91,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC.",0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,0.00001,106.295,3
spotify:track:6J5kc12BW5HuP3d7C3vvx8,"EoO","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,204768,94,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC.",0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,"MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,87,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
spotify:track:2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga;Bruno Mars",2024-08-16,251667,91,false,,2026-02-09T02:03:50Z,"艺术流行音乐,流行","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
spotify:track:2lTm559tuIvatlT1u0JYG2,"BAILE INoLVIDABLE","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,367725,96,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC.",0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
spotify:track:5TFD2bmFKGhoCRbX61nXY5,"NUEVAYoL","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,183685,95,false,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC.",0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
spotify:track:1Hg0e997pObvZ91w1FCPFk,"LO QUE LE PASÓ A HAWAii","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,229381,82,false,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC.",0.0939,0.00174,11,-54.341,1,0.0638,0.247,0.000195,0.245,0.0679,82.653,4
spotify:track:0UvZcEfpzVyx47QsRbjyBz,"El Apagón","Un Verano Sin Ti","Bad Bunny",2022-05-06,201816,81,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC",0.629,0.698,8,-4.485,1,0.308,0.0509,0.00166,0.0909,0.599,117.765,4
spotify:track:6VNXmo59yDYgcwLS17UNAW,"CAFé CON RON","DeBÍ TiRAR MáS FOToS","Bad Bunny;Los Pleneros de la Cresta",2025-01-05,228836,86,false,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC.",0.328,0.153,9,-26.802,1,0.0564,0.148,0.00000128,0.397,0.0376,95.506,4
spotify:track:3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,98,true,,2026-02-09T02:03:50Z,"雷击顿,拉丁陷阱音乐,拉丁,Urbano Latino","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:45J4avUb9Ni0bnETYaYFVJ,"luther (with sza)","GNX","Kendrick Lamar;SZA",2024-11-22,177598,83,false,,2026-02-09T02:03:50Z,"嘻哈,西海岸嘻哈,节奏蓝调","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
spotify:track:6r1ygpKNXg7deq18rzyM7F,"Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,75,false,,2026-02-09T02:03:50Z,"流行","Capitol Records",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
spotify:track:0SiywuOBRcynK0uKGWdCnn,"Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga",2009-11-05,294573,87,true,,2026-02-09T02:03:50Z,"艺术流行音乐,流行","Interscope",0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
spotify:track:5IVuqXILoxVWvWEPm82Jxr,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé;JAŸ-Z",2003-06-24,236133,80,false,,2026-02-09T02:03:50Z,"嘻哈,东海岸嘻哈,说唱","Columbia",0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,4
spotify:track:62bOmKYxYg7dhrC6gH9vFn,"Bye Bye Bye","No Strings Attached","*NSYNC",2000-03-21,200400,81,false,,2026-02-09T02:03:50Z,"","Jive",0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,4
spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther The Album Music From And Inspired By","Kendrick Lamar;SZA",2018-02-09,232186,91,true,,2026-02-09T02:03:50Z,"嘻哈,西海岸嘻哈,节奏蓝调","Black Panther (TDE/DMG) PS",0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
spotify:track:0O45fw2L5vsWpdsOdXwNAR,"SexyBack (feat. Timbaland)","FutureSex/LoveSounds","Justin Timberlake;Timbaland",2006-09-12,242733,87,true,,2026-02-09T02:03:50Z,"","Jive",0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,4
spotify:track:30XU4suKzCeoCK9YFzdufg,"Born This Way","Born This Way (International Special Edition Version)","Lady Gaga",2011-05-23,260252,75,false,,2026-02-09T02:03:50Z,"艺术流行音乐,流行","Interscope",0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.493,123.907,4
spotify:track:6ECp64rv50XVz93WvxXMGF,"This Love","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,206200,88,false,,2026-02-09T02:03:50Z,"流行","Interscope Records*",0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,4
spotify:track:2AW37v0bDyuOzGP3XnmFuA,"It's Gonna Be Me","No Strings Attached","*NSYNC",2000-03-21,192426,74,false,,2026-02-09T02:03:50Z,"","Jive",0.636,0.873,0,-4.672,0,0.071,0.0407,0.00000127,0.0372,0.908,165.071,4
spotify:track:7j5TIXPi0cCbSSqItmbyZy,"Vogue","The Immaculate Collection","Madonna",1990-11-09,317080,74,false,,2026-02-09T02:03:50Z,"","Sire/Warner Records",0.747,0.84,3,-7.701,0,0.0421,0.00348,0.00656,0.44,0.305,115.997,4
spotify:track:3lXbHd0EoryoQh3vpevNEP,"Firework","Teenage Dream","Katy Perry",2010-01-01,227893,76,false,,2026-02-09T02:03:50Z,"流行","Capitol Records",0.638,0.831,8,-5.039,1,0.049,0.142,0,0.113,0.649,124.071,4
spotify:track:1QV6tiMFM6fSOKOGLMHYYg,"Poker Face","The Fame","Lady Gaga",2008-01-01,237200,86,true,,2026-02-09T02:03:50Z,"艺术流行音乐,流行","Streamline/Interscope",0.851,0.806,4,-4.618,1,0.0787,0.119,0.00000172,0.121,0.774,119.001,4
spotify:track:3TahdwXB4gJRWVAI00Ejqa,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Hands All Over (Revised Asia Standard Version)","Maroon 5;Christina Aguilera",2010,201493,71,false,,2026-02-09T02:03:50Z,"流行","Interscope Records*",0.722,0.761,11,-4.459,0,0.0475,0.0117,0,0.315,0.624,128.044,4
spotify:track:2ENexcMEMsYk0rVJigVD3i,"Only Girl (In The World)","Loud","Rihanna",2010-01-01,235493,89,false,,2026-02-09T02:03:50Z,"","Def Jam Recordings",0.789,0.706,11,-4.233,0,0.0429,0.112,0.0000171,0.0586,0.638,125.918,4
spotify:track:3XVBdLihbNbxUwZosxcGuJ,"If I Ain't Got You","The Diary Of Alicia Keys","Alicia Keys",2003-12-02,228706,85,false,,2026-02-09T02:03:50Z,"节奏蓝调,新灵魂乐","J Records",0.609,0.444,7,-9.129,1,0.106,0.603,0.00000686,0.104,0.166,118.402,3
