Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zQUndaoBtXJ10SsApqtvw,"Strategy (feat. Megan Thee Stallion)","STRATEGY","TWICE;Megan Thee Stallion",2024-12-06,201760,76,false,,2024-12-13T08:18:37Z,"韩语流行","Republic Records - TWICE",0.8,0.751,2,-2.169,1,0.0669,0.238,0,0.357,0.687,110.043,4
spotify:track:3coRPMnFg2dJcPu5RMloa9,"Whiplash","Whiplash - The 5th Mini Album","aespa",2024-10-21,183226,75,false,,2024-10-24T14:42:40Z,"韩语流行","aespa",0.863,0.9,10,-2.974,0,0.0448,0.0953,0.0212,0.0786,0.748,126.023,4
spotify:track:3AoEQRuFf8zVXWqSLo2UOi,"CRAZY","CRAZY","LE SSERAFIM",2024-08-30,164554,73,false,,2024-08-30T04:09:22Z,"韩语流行","SOURCE MUSIC",0.802,0.899,11,-2.223,0,0.126,0.00953,0.000291,0.101,0.531,130.047,4
spotify:track:3s2MyU2YCwNNwcSokt0jXD,"Girl","Destiny Fulfilled","Destiny's Child",2004-11-16,224146,56,false,,2024-08-26T12:37:50Z,"","Sony Urban Music/Columbia",0.567,0.747,6,-6.019,0,0.105,0.31,0,0.04,0.556,89.036,4
spotify:track:6utJDOqzWj8FggDp1R2Wi2,"Being Boring - 2018 Remaster","Behaviour: Further Listening 1990 - 1991 (2018 Remaster)","Pet Shop Boys",1990-10-22,410560,50,false,,2024-08-17T05:09:37Z,"合成器流行,新浪潮","Rhino/Parlophone",0.629,0.75,8,-10.505,0,0.0395,0.105,0.627,0.0622,0.21,119.79,4
spotify:track:7ov3TDp5D00Rnu5R1viX4w,"New Woman (feat. ROSALÍA)","New Woman (feat. ROSALÍA)","LISA;ROSALÍA",2024-08-15,179789,70,true,,2024-08-16T07:01:25Z,"韩语流行","Lloud Co./RCA Records",0.477,0.854,7,-4.715,1,0.275,0.0858,0,0.065,0.314,140.515,5
spotify:track:6vvPecFTmWxDfEJ6cYT1wa,"Rockstar","Rockstar","LISA",2024-06-27,138213,76,true,,2024-08-14T13:45:16Z,"韩语流行","Lloud Co./RCA Records",0.668,0.628,8,-4.692,1,0.046,0.129,0,0.0293,0.568,140.053,4
spotify:track:6aJn7Cst74cj4lNIiPRgav,"Touch","Touch","KATSEYE",2024-07-26,129882,86,false,,2024-08-09T06:44:09Z,"韩语流行","HYBE/Geffen",0.739,0.904,5,-2.655,0,0.0442,0.549,0.0000103,0.0948,0.788,167.033,4
spotify:track:6zkiTqLpmNOeCRHVOTQk2T,"Castle In The Air","重拾_快樂","林俊傑",2023-04-21,231397,32,false,,2024-07-29T00:36:12Z,"华语流行音乐,汉语流行音乐,台湾流行音乐","就是俊傑音樂股份有限公司",0.371,0.338,4,-9.361,0,0.0359,0.894,0.000022,0.125,0.187,143.786,4
spotify:track:3bXRzbErrzDdcMCWX3139p,"Oshaprapra","Stubborn","Victony;Shorae Moore",2024-06-21,189897,0,false,,2024-07-17T14:28:01Z,"非洲节奏乐,非洲流行音乐,afropiano,非洲节奏蓝调,非洲灵魂乐,alté,afro adura","Encore Recordings",0.52,0.556,6,-8.611,0,0.0743,0.746,0.00000455,0.383,0.559,103.352,4
spotify:track:2PAUx7xVtUdAIdMh5wEvCT,"似水年華","似水年華 文學音樂劇本","黃磊",2003-07-21,354481,4,false,,2024-07-17T14:17:15Z,"华语流行音乐,汉语流行音乐","豐華唱片",0.502,0.278,9,-8.287,1,0.0339,0.912,0,0.0984,0.472,135.708,4
spotify:track:5IcP1PPnleZ2kuwKDyfNC5,"Forgiveless (feat. Ol' Dirty Bastard)","SOS","SZA;Ol' Dirty Bastard",2022-12-09,141960,60,true,,2024-07-06T04:47:05Z,"节奏蓝调,东海岸嘻哈,旧学派嘻哈,硬核嘻哈","Top Dawg Entertainment/RCA Records",0.668,0.769,9,-5.25,1,0.218,0.366,0,0.0861,0.469,79.852,4
spotify:track:58Q3FZFs1YXPpliWQB5kXB,"Right Now","Supernatural","NewJeans",2024-06-21,160413,70,false,,2024-06-26T14:52:46Z,"韩语流行","ADOR",0.67,0.802,3,-6.555,0,0.0468,0.123,0.00478,0.121,0.551,171.977,4
