Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:553GNiNqcudWfsF55RBDqz,"雨愛","雨愛","楊丞琳",2009-12-29,261560,65,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-25T01:22:21Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Epic",0.422,0.657,4,-5.274,1,0.0292,0.214,0,0.129,0.218,159.957,4
spotify:track:2KRLVQOjVL1SDxcHXUAC4E,"安靜了","我的電臺FM S.H.E","S.H.E",2008-09-23,271280,51,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-25T01:22:04Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","HIM",0.595,0.593,0,-5.967,1,0.0288,0.634,0,0.125,0.357,133.965,4
spotify:track:2chz9PENZPB0VYNH1TsfsN,"魔鬼中的天使","My Love","田馥甄",2011-09-02,238186,51,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-25T01:21:34Z,"华语流行音乐,汉语流行音乐,台湾流行音乐","HIM",0.685,0.398,1,-7.488,1,0.0307,0.775,0,0.126,0.111,130.026,4
spotify:track:0fQla3BOmDbwE7e6I78LbZ,"錯的人","蕭灑小姐","萧亚轩",2010-09-21,311813,59,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-25T01:21:31Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Gold Typhoon Taiwan",0.511,0.511,4,-6.787,1,0.0366,0.76,0,0.104,0.239,127.826,4
spotify:track:7pSEcGc0pnssHHqvdzLwRA,"What Makes Us Human","Backspace Unwind","Lamb",2014-10-13,256279,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-14T03:04:12Z,"神游舞曲,缓拍音乐","Cooking Vinyl UK",0.266,0.62,9,-5.531,0,0.0415,0.0211,0.211,0.086,0.0392,179.75,4
spotify:track:2XKFnwB6djxrJCjR3PdeRb,"My Bad","Free Spirit","Khalid",2019-04-05,163973,53,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-13T01:29:19Z,"","Right Hand Music Group, LLC/RCA Records",0.577,0.578,0,-9.146,0,0.0907,0.547,0.59,0.264,0.367,84.963,4
spotify:track:4pZA1GWGfG4JoZ0rbb8yG2,"FANCY - Japanese ver.","Breakthrough","TWICE",2019-07-24,216146,41,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-13T01:26:04Z,"韩语流行","WM Japan",0.692,0.847,5,-1.947,0,0.0534,0.0238,0,0.441,0.712,132.053,4
spotify:track:7e7VjLxO5xJINHvnRytrqi,"PLAYING WITH FIRE","SQUARE TWO","BLACKPINK",2016-11-01,197355,2,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-13T01:21:46Z,"韩语流行","YG Entertainment",0.707,0.758,4,-4.511,0,0.0917,0.0399,0,0.141,0.674,97.037,4
spotify:track:50r1EUDpmSZRPo5aIZpmWi,"E.T.","Teenage Dream","Katy Perry",2010-08-24,206373,55,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-13T01:20:43Z,"流行","Capitol Records",0.603,0.863,5,-5.423,0,0.0773,0.0178,0,0.389,0.731,150.054,4
spotify:track:03iCbZaM4OkRR4We6wIzvx,"IDOL","Love Yourself 結 'Answer'","BTS;Nicki Minaj",2018-08-24,260233,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-07T03:32:25Z,"韩语流行","BIGHIT MUSIC / HYBE",0.709,0.857,9,-3.394,1,0.0881,0.00219,0,0.103,0.446,126.038,4
spotify:track:2mj7x99sNUsVHPBRK51zlG,"Electric (feat. Khalid)","The Color Of You","Alina Baraz;Khalid",2018-04-06,246327,1,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-07T03:32:16Z,"","Mom+Pop",0.599,0.396,10,-10.489,0,0.0392,0.738,0.0000219,0.102,0.134,111.072,4
spotify:track:2SUQGI9ztmp0PQd1J8SVHx,"Knew Better / Forever Boy","Dangerous Woman","Ariana Grande",2016-05-20,299213,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-07T03:29:20Z,"流行","Universal Records",0.484,0.381,6,-6.705,1,0.0711,0.235,0.0000036,0.0998,0.372,106.65,4
spotify:track:7ARveOiD31w2Nq0n5FsSf8,"Perfect Places","Melodrama","Lorde",2017-06-16,221874,72,true,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-07T03:20:56Z,"","Universal Music New Zealand Limited",0.622,0.58,1,-5.273,0,0.0504,0.00241,0.0000295,0.112,0.512,104.41,4
spotify:track:13W2FZtELfJiVBst64qKf4,"Dead","As She Pleases","Madison Beer",2018-02-02,194826,0,true,31ceqkk2uqh34ud7f4wad5w5rey4,2020-01-07T03:20:28Z,"","Access Records",0.583,0.7,2,-4.969,0,0.211,0.4,0,0.183,0.553,103.072,4
spotify:track:03UChw9aTMMe4VtF2rSEXe,"路過人間","路過人間","郁可唯",2019-05-03,247132,52,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-12-26T12:49:33Z,"古风音乐,华语流行音乐,汉语流行音乐,台湾流行音乐","HIM International Music Inc.",0.615,0.386,3,-9.799,1,0.0312,0.825,0.00000446,0.115,0.148,129.925,4
spotify:track:1Haq3FvPaTsR07ti9hmmd6,"REALiTi (Demo)","REALiTi (Demo)","Grimes",2015-03-12,267130,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-12-13T23:55:04Z,"艺术流行音乐","4AD",0.721,0.666,0,-9.949,0,0.0324,0.521,0.0509,0.08,0.713,115.034,4
spotify:track:2iwgz9oZJjmdxEaRfLzYsY,"It's Always The Little Things","It's Always The Little Things","郭顶;Rachael Yamagata",2018-11-23,250720,41,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-10-20T14:50:36Z,"中国独立音乐,台湾独立音乐,华语流行音乐,汉语流行音乐,中国摇滚,台湾流行音乐","Go East Music Entertainment Consulting Limited",0.462,0.186,11,-13.879,1,0.0381,0.938,0,0.114,0.123,103.353,4
spotify:track:2ei4PerelrjFqLJL8GPrAl,"離人","不後悔","張學友",1998-01-01,290333,36,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-10-20T14:41:52Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐","Universal Music Taiwan",0.395,0.22,3,-14.419,1,0.0387,0.675,0,0.101,0.175,177.644,4
spotify:track:0YNBZKmzePAF350mY8QQ8M,"旋木","將愛","王菲",2003-11-07,253120,44,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-10-20T14:35:49Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.635,0.179,2,-18.415,1,0.0416,0.91,0,0.379,0.566,121.874,4
spotify:track:2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Tchaikovsky: Swan Lake","Pyotr Ilyich Tchaikovsky;André Previn;倫敦交響樂團",1976-01-01,166866,72,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-10-04T01:13:45Z,"芭蕾舞,古典,管弦乐,歌剧","Warner Classics",0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,4
spotify:track:61dYvvfIRtIDFuqZypPAta,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Unaccompanied Cello Suites (Remastered)","Johann Sebastian Bach;馬友友",1983,151733,65,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-10-03T15:10:54Z,"巴洛克音乐,古典,古典钢琴,协奏曲,早期音乐,室内音乐","Sony Classical",0.218,0.111,7,-21.375,1,0.0688,0.895,0.834,0.165,0.27,77.423,4
spotify:track:34GSbu5gyOvcRYb8H06hZC,"成全","年華","劉若英",2001-01-09,276395,54,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-09-26T11:57:26Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Rock Records Co., Ltd.",0.582,0.613,11,-5.884,1,0.0385,0.513,0.00000202,0.124,0.445,167.94,4
spotify:track:21jActlsyXzkKDkN3LK6G7,"달리","달리","HYOLYN;GRAY",2018-04-23,203000,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-09-23T07:11:53Z,"韩语流行,韩语抒情曲,韩国嘻哈","㈜ 브리지",0.666,0.82,11,-2.886,0,0.208,0.293,0,0.249,0.883,143.741,4
spotify:track:30FURVTCpbKyykjSEQzGkH,"Back To Black","Back To Black","Amy Winehouse",2006-10-27,240440,82,true,31ceqkk2uqh34ud7f4wad5w5rey4,2019-09-01T14:36:35Z,"","Universal-Island Records Ltd.",0.49,0.725,10,-3.304,1,0.0392,0.123,0.0000268,0.0983,0.335,123.28,4
spotify:track:6CTWathupIiDs7U4InHnDA,"Trip","Ella Mai","Ella Mai",2018-10-12,213993,75,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-07-25T07:04:49Z,"节奏蓝调","10 Summers / Interscope PS",0.477,0.609,11,-5.628,0,0.144,0.222,0,0.107,0.357,79.884,4
spotify:track:49FYlytm3dAAraYgpoJZux,"Umbrella","Good Girl Gone Bad: Reloaded","Rihanna;JAŸ-Z",2008-06-02,275986,86,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-07-22T13:27:38Z,"嘻哈,东海岸嘻哈,说唱","Def Jam Recordings",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034,4
spotify:track:6j328qpqI6nScYgOTW5rBl,"Love Inside","In My Mind","BJ The Chicago Kid;Isabella",2016-02-19,227880,34,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-07-17T16:10:59Z,"","Motown",0.764,0.752,10,-5.197,0,0.0466,0.0597,0.00473,0.0862,0.495,143.044,4
spotify:track:43sNw9nvGYGLYnNiwI8oMZ,"Freek'n You","The Show, The After Party, The Hotel","Jodeci",1995-01-01,379240,67,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-07-16T05:16:15Z,"新杰克摇摆乐,quiet storm,节奏蓝调","Geffen",0.709,0.52,5,-9.365,0,0.03,0.0677,0,0.0629,0.455,134.175,4
spotify:track:3IuJXTVipz0DGz70MaCfgW,"You Remind Me","What's The 411?","Mary J. Blige",1992-01-01,258092,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-07-16T03:18:10Z,"节奏蓝调","Uptown",0.655,0.768,11,-4.949,0,0.0593,0.259,0.00000416,0.0944,0.506,95.064,4
spotify:track:5MjAFPcmrR1DYCgZrXCN4d,"Turnin' Me Up","In My Mind","BJ The Chicago Kid",2016-02-19,269173,54,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-07-16T03:16:58Z,"","Motown",0.734,0.776,2,-4.193,1,0.0826,0.0406,0.193,0.0547,0.843,78.542,4
spotify:track:2j0FtLNpLPaSX9rKuIdBFH,"Breakfast In Bed","READY","Ella Mai",2017-02-22,237758,43,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-07-16T03:09:10Z,"节奏蓝调","10 Summers / Interscope PS",0.711,0.517,5,-7.148,0,0.203,0.00417,0.000122,0.12,0.182,97.988,3
