Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
,"undefined","undefined","undefined",,,,,,2020-05-18T02:00:15Z,"","undefined",,,,,,,,,,,,
spotify:track:5fOV54t6mMYv3H9CsnvU81,"ME! - Live From Paris","ME! (Live From Paris)","Taylor Swift",2020-05-17,213026,46,false,,2020-05-18T02:00:15Z,"","Taylor Swift",0.545,0.935,0,-6.584,1,0.0456,0.0428,0.000514,0.976,0.552,91.014,4
spotify:track:2fgiBCtbWo8pijF6M7pN1i,"The Archer - Live From Paris","The Archer (Live From Paris)","Taylor Swift",2020-05-17,210960,50,false,,2020-05-18T02:00:15Z,"","Taylor Swift",0.473,0.54,0,-9.085,1,0.0425,0.167,0.00213,0.858,0.0995,125.022,4
spotify:track:3oF7Or7T35yhQbGxbCGvRX,"Death By A Thousand Cuts - Live From Paris","Death By A Thousand Cuts (Live From Paris)","Taylor Swift",2020-05-17,199066,54,false,,2020-05-18T02:00:15Z,"","Taylor Swift",0.584,0.655,4,-5.551,1,0.0306,0.712,0,0.97,0.604,91.844,4
spotify:track:3fGnrtrtL1IHSX9t4DKOYf,"Cornelia Street - Live From Paris","Cornelia Street (Live From Paris)","Taylor Swift",2020-05-18,296013,60,false,,2020-05-18T02:00:15Z,"","Taylor Swift",0.502,0.462,11,-7.526,1,0.0265,0.578,0,0.721,0.304,97.085,4
spotify:track:7FKbTRXXIWVFQmPH8zGfU0,"The Man - Live From Paris","The Man (Live From Paris)","Taylor Swift",2020-02-18,219385,47,false,,2020-05-18T02:23:54Z,"","Taylor Swift",0.343,0.864,0,-5.871,1,0.0875,0.672,0,0.962,0.714,90.905,3
spotify:track:7ryS0xBZNYjQqql34GCkDp,"Daylight - Live From Paris","Daylight (Live From Paris)","Taylor Swift",2020-05-17,262320,56,false,,2020-05-18T02:00:15Z,"","Taylor Swift",0.49,0.228,0,-10.504,1,0.0361,0.794,0,0.733,0.217,75.858,4
spotify:track:36a08nLG1xazGaaVKK0vv7,"You Need To Calm Down - Live From Paris","You Need To Calm Down (Live From Paris)","Taylor Swift",2020-05-17,203960,46,false,,2020-05-18T02:00:15Z,"","Taylor Swift",0.595,0.832,7,-6.467,1,0.0463,0.0637,0.0000225,0.818,0.742,85.01,4
spotify:track:4lD3RXyvHpJsM3BhIEC4aA,"Lover - Live From Paris","Lover (Live From Paris)","Taylor Swift",2020-05-17,229733,49,false,,2020-05-18T02:00:15Z,"","Taylor Swift",0.277,0.605,7,-7.076,1,0.0398,0.168,0.00246,0.954,0.479,68.541,4
spotify:track:43rA71bccXFGD4C8GOpIlN,"I Forgot That You Existed","Lover","Taylor Swift",2019-08-23,170640,71,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.664,0.316,5,-10.345,1,0.519,0.298,0.00000203,0.0812,0.541,92.875,4
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,89,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
spotify:track:1dGr1c8CrMLDpV6mPbImSI,"Lover","Lover","Taylor Swift",2019-08-23,221306,85,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
spotify:track:3RauEVgRgj1IuWdJ9fDs70,"The Man","Lover","Taylor Swift",2019-08-23,190360,78,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,4
spotify:track:3pHkh7d0lzM2AldUtz2x37,"The Archer","Lover","Taylor Swift",2019-08-23,211240,75,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,4
spotify:track:2YWtcWi3a83pdEg3Gif4Pd,"I Think He Knows","Lover","Taylor Swift",2019-08-23,173386,69,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,4
spotify:track:214nt20w5wOxJnY462klLw,"Miss Americana & The Heartbreak Prince","Lover","Taylor Swift",2019-08-23,234146,76,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,4
spotify:track:4y5bvROuBDPr5fuwXbIBZR,"Paper Rings","Lover","Taylor Swift",2019-08-23,222400,77,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.811,0.719,9,-6.553,1,0.0497,0.0129,0.0000136,0.0742,0.865,103.979,4
spotify:track:12M5uqx0ZuwkpLp5rJim1a,"Cornelia Street","Lover","Taylor Swift",2019-08-23,287266,74,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,4
spotify:track:2dgFqt3w9xIQRjhPtwNk3D,"Death By A Thousand Cuts","Lover","Taylor Swift",2019-08-23,198533,72,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.712,0.732,4,-6.754,1,0.0629,0.454,0,0.319,0.313,94.071,4
spotify:track:1LLXZFeAHK9R4xUramtUKw,"London Boy","Lover","Taylor Swift",2019-08-23,190240,72,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,4
spotify:track:4AYtqFyFbX0Xkc2wtcygTr,"Soon You’ll Get Better (feat. The Chicks)","Lover","Taylor Swift;The Chicks",2019-08-23,201586,64,false,,2019-08-23T04:00:06Z,"国家/地区","Taylor Swift",0.433,0.182,0,-12.566,1,0.0641,0.907,0,0.123,0.421,207.476,4
spotify:track:5hQSXkFgbxjZo9uCwd11so,"False God","Lover","Taylor Swift",2019-08-23,200306,75,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,4
spotify:track:6RRNNciQGZEXnqk8SQ9yv5,"You Need To Calm Down","Lover","Taylor Swift",2019-08-23,171360,77,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,4
spotify:track:1SymEzIT3H8UZfibCs3TYi,"Afterglow","Lover","Taylor Swift",2019-08-23,223293,74,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,4
spotify:track:2Rk4JlNc2TPmZe2af99d45,"ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift;Brendon Urie;Panic! At The Disco",2019-08-23,193000,74,false,,2019-08-23T04:00:06Z,"情绪","Taylor Swift",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
spotify:track:1SmiQ65iSAbPto6gPFlBYm,"It’s Nice To Have A Friend","Lover","Taylor Swift",2019-08-23,150440,63,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,4
spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,"Daylight","Lover","Taylor Swift",2019-08-23,293453,81,false,,2019-08-23T04:00:06Z,"","Taylor Swift",0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,4
spotify:track:3i9UVldZOE0aD0JnyfAZZ0,"Lover (Remix) [feat. Shawn Mendes]","Lover (Remix) [feat. Shawn Mendes]","Taylor Swift;Shawn Mendes",2019-11-13,221306,65,false,,2019-11-13T12:01:00Z,"","Taylor Swift",0.448,0.603,7,-7.176,1,0.064,0.433,0,0.0862,0.422,205.272,3
,"undefined","undefined","undefined",,,,,,2019-08-23T04:00:06Z,"","undefined"
,"undefined","undefined","undefined",,,,,,2019-08-23T04:00:06Z,"","undefined"
,"undefined","undefined","undefined",,,,,,2019-08-23T04:00:06Z,"","undefined"
