Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1DxRCoKAKUejHETNMsJrsj,"Camera's Rolling","Myopia","Agnes Obel",2020-02-21,283773,44,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.273,0.183,6,-17.962,0,0.0389,0.986,0.676,0.127,0.184,122.835,4
spotify:track:6ilOjlJMBMSAWolY3xHZ1i,"Broken Sleep","Myopia","Agnes Obel",2020-02-21,295966,53,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.567,0.267,4,-14.718,0,0.0326,0.946,0.0326,0.0993,0.203,126.837,4
spotify:track:2xvlhh8v0iXjPUZQ0QWghu,"Island of Doom","Myopia","Agnes Obel",2020-02-21,329455,40,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.432,0.246,0,-14.492,1,0.0354,0.969,0.0126,0.121,0.126,120.103,4
spotify:track:3wFDDOshV5OWzHMLIdwWPk,"Roscian","Myopia","Agnes Obel",2020-02-21,137185,39,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.409,0.189,5,-25.884,1,0.0295,0.989,0.936,0.104,0.176,143.754,3
spotify:track:0jbgt7psXDq3cOQK7s0THz,"Myopia","Myopia","Agnes Obel",2020-02-21,316547,39,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.631,0.425,4,-13.162,1,0.0229,0.927,0.663,0.0716,0.695,97.994,3
spotify:track:0iamUYXRWQMuWR7AFf7pTW,"Drosera","Myopia","Agnes Obel",2020-02-21,147647,30,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.634,0.248,8,-17.011,1,0.0355,0.93,0.931,0.0841,0.463,186.251,5
spotify:track:3NH92QJm6Yez7GAlHgbxfB,"Can't Be","Myopia","Agnes Obel",2020-02-21,206199,32,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.553,0.273,11,-16.231,0,0.035,0.935,0.0029,0.106,0.0834,126.681,4
spotify:track:3NoTSP54RBUKGE0CK0wLis,"Parliament Of Owls","Myopia","Agnes Obel",2020-02-21,149751,49,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.212,0.239,11,-17.042,0,0.0365,0.919,0.942,0.149,0.117,119.345,3
spotify:track:0hRwDoDHfILeRoZynr4cPe,"Promise Keeper","Myopia","Agnes Obel",2020-02-21,269025,32,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.236,0.182,6,-16.323,0,0.0334,0.983,0.00648,0.0835,0.148,145.522,4
spotify:track:1j2LwxkXPVM9YRu2YZW06a,"Won't You Call Me","Myopia","Agnes Obel",2020-02-21,256812,37,false,315yykth5e2jrkis6izldc5hzsre,2021-02-09T16:02:58Z,"","Deutsche Grammophon (DG)",0.136,0.0611,0,-21.855,1,0.0341,0.944,0.163,0.0745,0.107,63.402,3
