Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0aB0v4027ukVziUGwVGYpG,"tv off (feat. lefty gunplay)","GNX","Kendrick Lamar;Lefty Gunplay",2024-11-22,220690,85,true,,2026-03-30T10:03:22Z,"嘻哈,西海岸嘻哈,墨西哥嘻哈","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
spotify:track:5uz5v1hRZLjNGatcPtOWUv,"LV Sandals","Rebel","EsDeeKid;fakemink;Rico Ace",2025-06-20,111157,84,true,,2026-03-30T10:03:22Z,"云雾说唱","Lizzy Records",0.729,0.581,2,-4.707,1,0.324,0.0318,0.0419,0.304,0.412,189.898,4
spotify:track:1eTaznNW4Xxtx9za2SMTXB,"DENIAL IS A RIVER","Alligator Bites Never Heal","Doechii",2024-08-30,159586,79,true,,2026-03-30T10:03:22Z,"","Top Dawg Entertainment/Capitol Records",0.825,0.644,6,-3.24,0,0.33,0.0905,0,0.0795,0.622,93.292,4
spotify:track:3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","CHROMAKOPIA","Tyler, The Creator;GloRilla;Sexyy Red;Lil Wayne",2024-10-28,255915,80,true,,2026-03-30T10:03:22Z,"说唱,嘻哈","Columbia",0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09,4
spotify:track:0BzX5iHjzOJw3j9xK4B5pq,"Gold","Gold","J Hus;Asake",2025-06-26,188263,63,true,,2026-03-30T10:03:22Z,"afroswing,车库饶舌,英国车库饶舌,非洲节奏乐,afropiano,afro adura,非洲流行音乐,amapiano,非洲节奏蓝调","Militér Music / EMPIRE",0.81,0.786,10,-5.686,0,0.252,0.0704,0,0.184,0.757,114.024,4
spotify:track:5zNW5ARjYhJQJz1AChP33n,"Thot Shit","Thot Shit","Megan Thee Stallion",2021-06-11,184634,67,true,,2026-03-30T10:03:22Z,"","300 Entertainment",0.95,0.693,9,-3.424,1,0.0898,0.0133,0,0.173,0.891,130.02,4
spotify:track:42VsgItocQwOQC3XWZ8JNA,"FE!N (feat. Playboi Carti)","UTOPIA","Travis Scott;Playboi Carti",2023-07-28,191700,85,true,,2026-03-30T10:03:22Z,"说唱,Rage Rap","Cactus Jack/Epic",0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,4
spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,"No Pole","Love Sick (Deluxe)","Don Toliver",2023-02-28,187613,89,true,,2026-03-30T10:03:22Z,"","Cactus Jack / Atlantic",0.328,0.631,5,-5.169,0,0.0465,0.0714,0,0.567,0.382,85.262,4
spotify:track:6xV7Be6XEvkSnighmh2Tzj,"Sugar On My Tongue","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,153332,84,true,,2026-03-30T10:03:22Z,"","Columbia",0.703,0.501,11,-7.037,1,0.101,0.0327,0,0.193,0.463,126.073,4
spotify:track:3znSvEwBq09We4cxxmwlZM,"Chains & Whips","Let God Sort Em Out","Clipse;Kendrick Lamar;Pharrell Williams;Pusha T;Malice",2025-07-11,243906,67,true,,2026-03-30T10:03:22Z,"嘻哈,西海岸嘻哈","Roc Nation Distribution",0.495,0.759,10,-5.155,0,0.286,0.183,0,0.298,0.6,92.76,4
