Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:161DnLWsx1i3u1JT05lzqU,"Talking to the Moon","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,217866,86,false,thetotsgallery,2016-08-03T05:32:06Z,"","Atlantic Records",0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,4
spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,"Stay With Me","In The Lonely Hour","Sam Smith",2014-01-01,172723,0,false,thetotsgallery,2016-11-05T05:37:56Z,"柔和流行音乐","Capitol Records",0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,4
spotify:track:6hrgeEo1WQOHVeF8QMv68S,"Breathe Me","Colour The Small One","Sia",2005-01-01,274933,48,false,thetotsgallery,2016-11-05T05:37:58Z,"","Astralwerks",0.544,0.63,0,-7.523,1,0.0335,0.034,0.573,0.0961,0.202,120.064,4
spotify:track:6GmUVqe73u5YRfUUynZK6I,"Let Her Go","All the Little Lights","Passenger",2012-06-29,252733,1,false,thetotsgallery,2016-11-05T05:37:57Z,"流行民谣","Nettwerk Records",0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,4
spotify:track:1dEy9Pl81QopSxNsPxXQxv,"Stay","Unapologetic (Deluxe)","Rihanna;Mikky Ekko",2012-12-11,240706,68,false,thetotsgallery,2016-11-05T05:37:58Z,"","Def Jam Recordings",0.621,0.31,9,-10.164,0,0.0283,0.945,0.0000612,0.117,0.125,111.881,4
spotify:track:2PwXOevGUSkU8qaYZjgLq2,"All I Want","In A Perfect World","Kodaline",2013-10-08,305746,0,false,thetotsgallery,2016-11-05T05:37:58Z,"","B-Unique/RCA",0.209,0.412,0,-9.733,1,0.0443,0.172,0.15,0.0843,0.162,86.26,3
spotify:track:6fOPuabPdAJ0HgqJFcDGb1,"Apologize","Dreaming Out Loud (International Version)","OneRepublic",2007-01-01,208106,0,false,thetotsgallery,2016-11-05T05:37:58Z,"柔和流行音乐","Universal Music Group",0.593,0.74,8,-6.12,1,0.0339,0.363,0.0000222,0.102,0.502,118.008,4
spotify:track:1MK9VSvdx48aGDAfL0y2Qq,"Nothing Like Us","Believe Acoustic","Justin Bieber",2013-01-01,199800,42,false,thetotsgallery,2016-11-05T05:37:58Z,"","RBMG/Def Jam",0.546,0.155,0,-14.378,1,0.0428,0.987,0.0000602,0.18,0.512,72.331,4
spotify:track:5lvnGiTAH9BVlJLHc0DXZz,"Just A Little Bit Of Your Heart","My Everything (Deluxe)","Ariana Grande",2014-08-22,232586,61,false,thetotsgallery,2016-11-05T05:37:59Z,"流行","Universal Records",0.44,0.323,9,-5.957,1,0.0281,0.692,0,0.103,0.158,77.986,4
spotify:track:1wVcLKdJ4AFKPhKucNvEpy,"Beneath Your Beautiful (feat. Emeli Sandé)","Beneath Your Beautiful","Labrinth;Emeli Sandé",2013-08-27,271813,0,false,thetotsgallery,2016-11-05T05:37:59Z,"","Syco Music",0.558,0.522,2,-5.857,1,0.036,0.228,0,0.104,0.228,83.977,4
spotify:track:3DWOTqMQGp5q75fnVsWwaN,"Hey There Delilah - Bonus Track","Every Second Counts","Plain White T's",2006,233280,55,false,thetotsgallery,2016-11-05T05:37:59Z,"","Hollywood Records",0.522,0.453,2,-7.859,1,0.0295,0.831,0.00000121,0.101,0.306,103.879,4
