Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:02wk5BttM0QL38ERjLPQJB,"Cool With You","NewJeans 2nd EP 'Get Up'","NewJeans",2023-07-21,147880,73,false,,1970-01-01T00:00:00Z,"韩语流行","ADOR",0.752,0.65,5,-6.683,0,0.12,0.653,0.00136,0.105,0.532,134.993,4
spotify:track:65FftemJ1DbbZ45DUfHJXE,"OMG","NewJeans 'OMG'","NewJeans",2023-01-02,212253,79,false,,1970-01-01T00:00:00Z,"韩语流行","ADOR",0.804,0.771,9,-4.067,0,0.0433,0.357,0.00000307,0.108,0.739,126.956,4
spotify:track:6nICBdDevG4NZysIqDFPEa,"Thirsty","MY WORLD - The 3rd Mini Album","aespa",2023-05-08,193413,63,false,,1970-01-01T00:00:00Z,"韩语流行","SM Entertainment / Warner Records",0.654,0.787,6,-2.538,1,0.0636,0.549,0,0.13,0.632,77.513,4
spotify:track:3IelG5zYpWWCZIH4cqWlPV,"SHOOTING STAR","SHOOTING STAR","XG",2023-01-25,203556,69,false,,1970-01-01T00:00:00Z,"韩语流行","XGALX",0.625,0.712,2,-5.996,1,0.0539,0.0229,0,0.252,0.398,163.015,4
spotify:track:3v5o91PrUtf0nmO6j8J7dZ,"LEFT RIGHT","SHOOTING STAR","XG",2023-01-25,208065,71,false,,1970-01-01T00:00:00Z,"韩语流行","XGALX",0.767,0.721,1,-5.586,1,0.0456,0.153,0.00000152,0.108,0.884,150.065,4
spotify:track:4W4fNrZYkobj539TOWsLO2,"Die For You (with Ariana Grande) - Remix","Starboy (Deluxe)","The Weeknd;Ariana Grande",2023-03-14,232857,75,false,,1970-01-01T00:00:00Z,"流行","XO / Republic Records",0.568,0.485,1,-7.635,0,0.0582,0.276,0,0.323,0.517,66.961,4
spotify:track:7foeH2Emgq8A3LWk3q6dat,"Kitsch","I've IVE","IVE",2023-04-10,195440,64,false,,1970-01-01T00:00:00Z,"韩语流行","Starship Entertainment",0.8,0.792,11,-4.953,1,0.0529,0.0119,0.00000111,0.0495,0.455,102,4
spotify:track:2G4JhJDVXJYNLUymXBUf2e,"潛伏期","出沒地帶","孫盛希",2020-12-18,256631,39,false,,1970-01-01T00:00:00Z,"中国节奏蓝调,台湾独立音乐,华语流行音乐,台湾流行音乐,汉语流行音乐,中国独立音乐","Rock Records Co., Ltd.",0.516,0.4,4,-7.903,0,0.035,0.567,0,0.137,0.128,104.915,4
spotify:track:739WUU1tPFLO4x4HJq561K,"Cupid - Twin Ver.","The Beginning","FIFTY FIFTY",2023-09-22,174253,1,false,,1970-01-01T00:00:00Z,"韩语流行","WM Korea",0.783,0.592,11,-8.332,0,0.0331,0.435,0.00000415,0.347,0.726,120.018,4
spotify:track:0a4MMyCrzT0En247IhqZbD,"Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,78,false,,1970-01-01T00:00:00Z,"韩语流行","ADOR",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
spotify:track:5CrShYXYibJD0kx4q56xhZ,"反方向的鐘","杰倫","周杰倫",2000-11-06,256733,0,false,,1970-01-01T00:00:00Z,"华语流行音乐,汉语流行音乐,台湾流行音乐,古风音乐,粤语流行,中国节奏蓝调","JVR",0.57,0.887,7,-7.993,0,0.0448,0.0908,0.00000341,0.197,0.182,94.607,4
spotify:track:5GI5JoHUc7qPXynGd4325s,"電梯","00:00","郁可唯",2016-12-02,293754,19,false,,1970-01-01T00:00:00Z,"古风音乐,华语流行音乐,汉语流行音乐,台湾流行音乐","Rock Records Co., Ltd.",0.42,0.294,3,-12.162,1,0.0285,0.832,0.00000617,0.141,0.24,160.055,4
spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Snow On The Beach (feat. Lana Del Rey)","Midnights","Taylor Swift;Lana Del Rey",2022-10-21,256124,68,true,,1970-01-01T00:00:00Z,"","Taylor Swift",0.663,0.321,9,-13.527,1,0.0409,0.701,0.000598,0.107,0.153,110.021,4
spotify:track:38MKW2tQHtyO8djIOKlEFF,"Allergy","I feel","i-dle",2023-05-15,162786,2,false,,1970-01-01T00:00:00Z,"韩语流行","Cube Entertainment",0.591,0.92,5,-3.699,1,0.185,0.0524,0,0.0467,0.545,165.087,4
spotify:track:3r8RuvgbX9s7ammBn07D3W,"Ditto","Ditto","NewJeans",2022-12-19,185506,80,false,,1970-01-01T00:00:00Z,"韩语流行","ADOR",0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
spotify:track:07tOPpbPKrEgTxc8HgHfZZ,"MAGICIAN","The Happy Star","Lexie Liu",2022-12-06,213062,49,false,,1970-01-01T00:00:00Z,"汉语流行音乐,中国嘻哈,中国节奏蓝调,华语流行音乐","Nixie Music",0.571,0.799,2,-5.859,0,0.0439,0.000739,0,0.406,0.445,120.04,4
spotify:track:6GGtHZgBycCgGBUhZo81xe,"Say Yes To Heaven","Say Yes To Heaven","Lana Del Rey",2023-05-19,209156,86,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.485,0.348,6,-11.576,0,0.0257,0.678,0.167,0.118,0.145,99.898,4
spotify:track:1UjN1QVbHnzJiqjkqzWmZK,"Love War (Feat. BE′O)","Love War","YENA;BE'O",2023-01-16,188280,54,false,,1970-01-01T00:00:00Z,"韩语流行,韩国嘻哈","Genie Music Corporation, Stone Music Entertainment",0.654,0.822,5,-4.307,0,0.164,0.397,0,0.178,0.65,100.094,4
