Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3BHlOb4aOdaMaIfJ4M13RP,"III","Who You Are Is Not Enough","Athletics",2014-04-22,370455,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:57Z,"后摇滚","Deep Elm",0.485,0.508,6,-6.813,1,0.0265,0.0955,0.462,0.307,0.0383,140.034,4
spotify:track:7IrUVr1hyrID38awZ5z0vR,"IV","Who You Are Is Not Enough","Athletics",2014-04-22,359922,23,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:58Z,"后摇滚","Deep Elm",0.555,0.364,6,-9.338,1,0.037,0.469,0.765,0.0926,0.0404,140.02,4
spotify:track:3BHlOb4aOdaMaIfJ4M13RP,"III","Who You Are Is Not Enough","Athletics",2014-04-22,370455,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:59Z,"后摇滚","Deep Elm",0.485,0.508,6,-6.813,1,0.0265,0.0955,0.462,0.307,0.0383,140.034,4
spotify:track:6yQJmhWSnzmJO5ULHJ07wP,"Taipei - All at Once","Taipei (All at Once)","Kyte",2013-07-16,290000,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:02Z,"后摇滚,盯鞋摇滚","Southworld",0.505,0.848,6,-6.955,1,0.0402,0.0275,0.0385,0.257,0.376,119.98,4
spotify:track:15ELObT3DaSGLdtAfwZqZi,"過完冬季","DI-DA-DI暗示","李玟",1998-01-19,323693,31,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:03Z,"华语流行音乐,台湾流行音乐,汉语流行音乐,粤语流行","Columbia",0.583,0.4,5,-10.659,1,0.0304,0.691,0.00000332,0.144,0.272,139.87,4
spotify:track:1z9kQ14XBSN0r2v6fx4IdG,"Diamonds","Unapologetic (Edited Version)","Rihanna",2012-01-01,225146,75,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:03Z,"","Def Jam Recordings",0.562,0.709,11,-4.92,0,0.0424,0.00124,0,0.109,0.401,91.958,4
spotify:track:5SmiUy0xpvtDAQDPTJdMOg,"Running","Devotion","Jessie Ware",2012,268746,29,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:05Z,"","Universal-Island Records Ltd.",0.708,0.637,4,-7.578,0,0.0393,0.29,0.023,0.126,0.552,95.013,4
spotify:track:26UVLCOUZIfhd17owJljCl,"Merry Christmas Mr. Lawrence","FACT","FACT",2009-04-14,199600,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:06Z,"日本摇滚,旋律硬核","Vagrant Records",0.201,0.861,6,-4.864,0,0.0544,0.00458,0.0172,0.125,0.38,169.995,4
spotify:track:5QkaoWSFwWNQEgifhtGxFp,"在你死後才想起曾經答應陪你去散步","擱淺的人","康士坦的變化球",2016-12-01,497625,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:07Z,"台湾独立音乐,中国独立音乐,中国摇滚,台湾流行音乐,后摇滚","海邊的卡夫卡",0.431,0.525,3,-12.151,1,0.0315,0.427,0.897,0.323,0.184,80.007,4
spotify:track:6anhAH3FPfQmvZmKwMCmVD,"Play我呸 - Alesso Remix Version","Play我呸 (Alesso Remix Version)","JOLIN蔡依林;Alesso",2016-10-02,227386,28,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:07Z,"华语流行音乐,汉语流行音乐,台湾流行音乐,电音","WM Taiwan",0.464,0.901,6,-2.411,1,0.0788,0.00916,0.0000578,0.156,0.353,105.028,4
spotify:track:34oB5r0lcN3fYWCs2uA1k5,"The Cure","The Cure","Lady Gaga",2017-04-16,211363,65,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:08Z,"艺术流行音乐,流行","Interscope",0.697,0.506,8,-4.863,1,0.0325,0.0792,0,0.0893,0.516,100.002,4
spotify:track:0mt02gJ425Xjm7c3jYkOBn,"Lust For Life (with The Weeknd)","Lust For Life","Lana Del Rey;The Weeknd",2017-07-21,264066,72,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:09Z,"","Polydor Records",0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,4
spotify:track:5FgQkEcqMXCqFdcsEx143b,"The Four Horsemen","6 6 6","Aphrodite's Child",1971-01-01,353426,49,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:10Z,"前卫摇滚,迷幻摇滚,巴洛克流行音乐,krautrock,艺术摇滚","EMI",0.294,0.653,2,-11.52,1,0.0504,0.0612,0.000689,0.14,0.185,95.011,4
spotify:track:432hUIl3ISDeytYW5XBQ5h,"Wolves","The Life Of Pablo","Kanye West",2016-06-10,301586,69,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:11Z,"说唱","Rock The World/IDJ/Kanye LP7",0.395,0.392,1,-8.034,1,0.0925,0.219,0.00173,0.134,0.103,155.856,4
spotify:track:19a3JfW8BQwqHWUMbcqSx8,"Famous","The Life Of Pablo","Kanye West",2016-06-10,196040,74,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:12Z,"说唱","Rock The World/IDJ/Kanye LP7",0.465,0.735,6,-3.715,1,0.117,0.0711,0,0.0975,0.409,173.935,4
spotify:track:5ZspOEIpjZE92OLcSjYyU9,"食人夢","次等秘密","VH (Vast & Hazy)",2017-01-09,270832,31,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:13Z,"台湾独立音乐,中国独立音乐,中国摇滚,台湾流行音乐,华语流行音乐","Team Ear Music",0.48,0.9,4,-3.327,1,0.106,0.0919,0.000951,0.103,0.317,151.989,4
spotify:track:6j8gTlbhj9KJSeypNcNAS9,"Street Lights","808s & Heartbreak","Kanye West",2008-11-24,189906,64,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:15Z,"说唱","Roc-A-Fella",0.644,0.487,6,-9.654,1,0.034,0.0287,0.0166,0.206,0.467,125.528,4
spotify:track:34fZYpFQYh1Eytp7ON7nMx,"Watch","Little Mourning","Milk & Bone",2015-04-21,229666,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:16Z,"魁北克独立音乐","Honeymoon / +1 Records",0.648,0.51,11,-7.307,0,0.0372,0.0829,0.378,0.0795,0.26,77.013,4
spotify:track:1sbc8eGIQ69LOdmOdDx6g7,"aLIEz","A/Z|aLIEz","SawanoHiroyuki[nZk]:mizuki",2014-09-10,268480,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:18Z,"","Sony Music Labels Inc.",0.651,0.912,4,-5.344,0,0.0568,0.0076,0.0000188,0.111,0.653,99,4
spotify:track:0KGIbrNYktDXYyHopcDI2L,"Make Me Wanna Die","Light Me Up","The Pretty Reckless",2010-01-01,235653,66,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:18Z,"","DAS Label / Interscope Records",0.495,0.905,8,-3.768,1,0.0653,0.00227,0.00000329,0.142,0.215,97.106,4
spotify:track:2E43WFS4rRc09za2r2GmZl,"My Songs Know What You Did In The Dark (Light Em Up)","Save Rock And Roll","Fall Out Boy",2013-04-12,186826,79,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:19Z,"情绪,流行朋克","Island Records",0.557,0.924,9,-4.341,0,0.064,0.0271,0.00000332,0.537,0.566,151.988,4
spotify:track:3IHHqmfKJHyI0obINUdg1W,"21 Guns","21st Century Breakdown","Green Day",2009-05-09,322040,63,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:20Z,"朋克,流行朋克","Reprise",0.26,0.719,5,-4.765,1,0.0364,0.048,0,0.454,0.419,159.072,4
spotify:track:0MsrWnxQZxPAcov7c74sSo,"Holiday / Boulevard of Broken Dreams","American Idiot","Green Day",2004-09-21,493400,75,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:21Z,"朋克,流行朋克","Reprise",0.29,0.827,8,-3.451,1,0.0362,0.000659,0.00000255,0.301,0.45,167.086,4
spotify:track:0e4jGLY8dwOnhniy2Hdtzc,"あなただけ見つめてる","Greatest Hits 1991-2016 ～All Singles + ～","大黒摩季",2016-11-23,282378,54,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:21Z,"歌谣曲,日本流行,动漫","ﾋﾞｰｲﾝｸﾞ",0.752,0.888,1,-4.669,0,0.0735,0.276,0,0.101,0.624,120.125,4
spotify:track:459h0Mh30C82Z1lhk41yYK,"Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-26,221946,51,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:22Z,"圣诞节","RCA Records Label",0.564,0.939,0,-4.278,1,0.0478,0.0442,0,0.112,0.613,116.025,4
spotify:track:0puf9yIluy9W0vpMEUoAnN,"Bang Bang","Sweet Talker (Deluxe Version)","Jessie J;Ariana Grande;Nicki Minaj",2014-10-10,199386,82,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:23Z,"流行","Lava Music/Republic Records",0.706,0.786,0,-3.417,0,0.091,0.26,0,0.38,0.751,150.028,4
spotify:track:4bJygwUKrRgq1stlNXcgMg,"All The Things She Said","200 KM/H In The Wrong Lane (10th Anniversary Edition)","t.A.T.u.",2002,214440,86,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:23:24Z,"","Interscope",0.527,0.834,5,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,4
