Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0azC730Exh71aQlOt9Zj3y,"This Is What You Came For","This Is What You Came For","Calvin Harris;Rihanna",2016-04-29,221900,81,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:38:04Z,"电音","Columbia",0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
spotify:track:3KliPMvk1EvFZu9cvkj8p1,"Work Bitch","Britney Jean (Deluxe Version)","Britney Spears",2013-11-30,247960,72,true,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:38:16Z,"流行","RCA Records Label",0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01,4
spotify:track:0k4FG9l3OrxLt5NQU3uEkR,"I'm not yours (feat. 安室奈美惠)","呸","JOLIN蔡依林;安室奈美惠",2014-11-15,221720,47,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:38:40Z,"华语流行音乐,汉语流行音乐,台湾流行音乐,日本节奏蓝调,动漫","WM Taiwan",0.622,0.874,9,-5.639,0,0.0437,0.0122,0.000018,0.651,0.483,128.015,4
spotify:track:6WdKzXgNyPeSOBI8OWN6Zp,"OOH-AHH하게 Like OOH-AHH","THE STORY BEGINS","TWICE",2015-10-20,215091,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:38:46Z,"韩语流行","JYP Entertainment",0.72,0.876,6,-1.166,1,0.0776,0.241,0.000101,0.381,0.694,141.997,4
spotify:track:0288jQaJZLqK5hvPokmNBX,"Highlight","HEART*IZ","IZ*ONE",2019-04-01,208868,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:38:50Z,"韩语流行","Genie Music Corporation",0.646,0.867,1,-4.921,1,0.0932,0.0135,0,0.108,0.416,123.727,4
spotify:track:0GUbhhI5fRx7BlqlqlhjuB,"Zimzalabim","‘The ReVe Festival’ Day 1","Red Velvet",2019-06-19,190859,47,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:38:55Z,"韩语流行","SM Entertainment",0.68,0.878,5,-4.791,0,0.179,0.0028,0.0000222,0.336,0.531,127.991,4
spotify:track:5uHl2eYaITSX6xEX8bmaXy,"Adios","HUSH","EVERGLOW",2019-08-19,189146,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:39:05Z,"韩语流行,噪音音乐","Genie Music Corporation, Stone Music Entertainment",0.633,0.706,10,-5.137,0,0.0627,0.000587,0.0795,0.245,0.399,128.187,4
spotify:track:5KawlOMHjWeUjQtnuRs22c,"Boy With Luv (feat. Halsey)","MAP OF THE SOUL : PERSONA","BTS;Halsey",2019-04-12,229773,4,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:39:27Z,"韩语流行","BIGHIT MUSIC / HYBE",0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,4
spotify:track:6vHyPhg8fgclBiY8QN68wp,"PIRI","The End of Nightmare","Dreamcatcher",2019-02-13,206819,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:39:40Z,"韩国摇滚,韩语流行","DREAMCATCHER COMPANY",0.507,0.869,2,-2.245,0,0.0594,0.18,0,0.474,0.507,170.043,4
spotify:track:0Ryd8975WihbObpp5cPW1t,"boyfriend (with Social House)","boyfriend","Ariana Grande;Social House",2019-08-02,186106,81,true,31ceqkk2uqh34ud7f4wad5w5rey4,2019-08-22T11:39:44Z,"流行","Republic Records",0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,4
