Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3BHlOb4aOdaMaIfJ4M13RP,"III","Who You Are Is Not Enough","Athletics",2014-04-22,370455,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:11Z,"后摇滚","Deep Elm",0.485,0.508,6,-6.813,1,0.0265,0.0955,0.462,0.307,0.0383,140.034,4
spotify:track:2ikFsoQYoiYGJvsa0xfUON,"How They Remember You","Country Nights","Rascal Flatts",2020-11-06,211706,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:12Z,"国家/地区","UMG Recordings, Inc.",0.442,0.8,2,-5.12,1,0.0368,0.0124,0,0.0785,0.498,152.004,4
spotify:track:1bmEIZhodItI8Rl51GqeAP,"Between Worlds","X I I","Roger Subirana",2013-12-01,309624,32,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:13Z,"","Roger Subirana",0.324,0.256,1,-13.966,1,0.036,0.766,0.908,0.0758,0.134,149.998,4
spotify:track:453spNn4mGdYErYt3rGhSX,"Kettering","Hospice","The Antlers",2009-06-23,311240,48,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:13Z,"","Frenchkiss Records",0.324,0.163,9,-13.909,0,0.0416,0.974,0.844,0.0892,0.0852,139.814,4
spotify:track:7gf342BtbOwdEioHSNlGbX,"New Year's Eve","New Year's Eve","MØ",2016-02-05,228813,31,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:15Z,"","Chess Club/RCA Victor",0.613,0.34,7,-7.936,1,0.0261,0.865,0,0.122,0.271,117.956,4
spotify:track:6CZSePF4e6DJbraNkjgJ6d,"Wild Eyes","Wild Eyes","Broiler;RAVVEL",2014-11-10,204573,46,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:16Z,"挪威流行音乐,russelåter","Universal Music AS",0.625,0.728,11,-6.4,0,0.0641,0.322,0.000494,0.101,0.147,125.901,4
spotify:track:1nfU8TLjr5eX23BGjdPgRw,"The Gaels","Wanderings","Artesia",2013-04-01,253626,20,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:17Z,"凯尔特音乐,新古典,中世纪音乐,新民谣,黑暗氛围音乐","Prikosnovenie",0.36,0.288,0,-10.466,1,0.0304,0.899,0.811,0.246,0.279,99.995,4
spotify:track:0hgsUnkawqDllP4OF4g9MN,"Feeling Ok","California Nights","Best Coast",2015-05-04,196160,35,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:19Z,"","Harvest Records",0.438,0.913,9,-3.438,1,0.0558,0.000142,0.00393,0.145,0.21,118.963,4
spotify:track:3Pyb7rYWBsRL24vmdlzlxk,"Assassin's Creed III Main Theme","Assassin's Creed 3 (Original Game Soundtrack)","Lorne Balfe;Assassin's Creed",2012-10-30,186613,51,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:19Z,"配乐,海员号子","Ubisoft Music",0.413,0.881,2,-10.675,0,0.118,0.0305,0.809,0.0789,0.0927,135.017,4
spotify:track:3mA5PczWQ3CDZAYiqdjH9U,"Letter - from The Lost Days","SILENT HILL3 （Original Soundtrack）","Akira Yamaoka",2003-07-16,234840,43,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:21Z,"日本游戏音乐","Konami Digital Entertainment Co.,Ltd.",0.822,0.662,5,-7.457,0,0.0549,0.474,0.00000189,0.443,0.458,131.995,4
spotify:track:1gWL1q8vipVkWgwPWDsbWL,"Theme of Laura","SILENT HILL2 （Original Soundtrack）","Akira Yamaoka",2001-10-03,204333,56,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:22Z,"日本游戏音乐","Konami Digital Entertainment Co.,Ltd.",0.49,0.78,4,-6.024,0,0.0327,0.000684,0.896,0.102,0.517,101.97,4
spotify:track:67rTwfoh6VyNeSsyGs1LMS,"Promise","SILENT HILL2 （Original Soundtrack）","Akira Yamaoka",2001-10-03,279973,51,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:23Z,"日本游戏音乐","Konami Digital Entertainment Co.,Ltd.",0.519,0.737,0,-6.102,1,0.0319,0.168,0.919,0.128,0.163,86.986,4
spotify:track:0eDCe3Y8fMzdCbfrUR0giO,"Time to Say Goodbye","RWBY, Vol. 2 (Music from the Rooster Teeth Series)","Jeff Williams;Casey Lee Williams",2014-12-02,204258,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:24Z,"动漫","Rooster Teeth Music",0.393,0.953,7,-2.741,1,0.151,0.000177,0.000216,0.242,0.305,124.874,4
spotify:track:5XJ70A5msUFNTKJuaB98Df,"You, Me and the Bourgeoisie - The Ship Session","The Shoelaces","The Submarines",2011-12-20,218346,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:26Z,"","Nettwerk Records",0.632,0.449,4,-8.488,1,0.029,0.883,0.000204,0.106,0.386,120.069,4
spotify:track:1GTrOm05fLAcbQSvzsUliC,"Won't Back Down","Nothing Left To Lose","Mat Kearney",2006,308160,22,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:28Z,"","Aware/Columbia",0.517,0.237,6,-10.993,1,0.0283,0.954,0.000332,0.111,0.176,77.038,4
spotify:track:0TP5a0qd1UmL8AJzoiRU4G,"Mad World","Piano Dreams - Broken Heart Love Songs","Martin Ermen",2017-12-08,228480,17,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:28Z,"","Sony Classical/Sony Music",0.544,0.337,3,-13.658,1,0.033,0.988,0.922,0.123,0.112,168.003,4
