Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4UtHRKssB80UDvnA1awh7h,"Hide And Seek","Chinoiseries pt 2","Onra",2011-11-15,121512,19,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:35Z,"神游舞曲","All City Dublin",0.274,0.695,7,-5.167,0,0.135,0.0196,0.133,0.365,0.466,72.695,4
spotify:track:5RXIwfikwiw8uERi7l98H9,"Relax in Mui Ne","Chinoiseries","Onra",2008-02-29,134293,32,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:36Z,"神游舞曲","Favorite",0.496,0.717,2,-3.294,1,0.0742,0.79,0,0.353,0.534,89.906,4
spotify:track:5AihYZmctLYOUcet4kNNgD,"Nanking Road - Instrumental","Instrumentals","The Shanghai Restoration Project",2006-10-24,220173,29,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:38Z,"中国独立音乐","Undercover Culture Music",0.816,0.656,4,-6.4,0,0.0672,0.0163,0.522,0.148,0.554,115.02,4
spotify:track:4Cx7WyAfFK4hgpm7s6IXoH,"天涯歌女 - 评弹","调戏 (新乐府 | 国粹)","鹤这豹脾气",2015,310520,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:41Z,"","新乐府",0.677,0.43,8,-10.545,1,0.045,0.0287,0.236,0.111,0.263,160.002,4
spotify:track:6Uz2EpzRJypTib4qSBJ971,"帝女花 · 树盟","迷粤 (新乐府 | 粤剧)","新乐府",2016,211891,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:42Z,"","新乐府",0.262,0.501,9,-8.391,1,0.0422,0.0772,0.601,0.122,0.196,175.464,3
spotify:track:6KNax19xlSsSbsTlIG00nW,"帝女花 · 香夭 · 妆台秋思","迷粤 (新乐府 | 粤剧)","新乐府",2016,408817,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:43Z,"","新乐府",0.615,0.505,4,-6.654,0,0.0544,0.0212,0.000753,0.16,0.233,125.95,4
spotify:track:6yvAx064ocwRejWWA15Bob,"游乐场","Do Hits, Vol. 2","ZHI16",2015-08-07,285217,7,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:44Z,"中国独立音乐","Do Hits",0.704,0.587,3,-8.146,0,0.231,0.353,0.0000752,0.158,0.339,138.003,3
spotify:track:2U8Dqy8nFF88J3cQL8ayLo,"喜洋洋","Do Hits Presents: Year of the Monkey (Chinese New Year Compilation)","Guzz",2016-02-08,212661,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:47Z,"中国独立音乐,台湾独立音乐","Do Hits",0.78,0.589,2,-7.768,1,0.0677,0.139,0.331,0.22,0.773,148.016,4
spotify:track:20fixN5viXwEKvIGWTf4dl,"美人淚","美人淚","原子邦妮",2016-03-16,239316,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:48Z,"台湾独立音乐,中国独立音乐,台湾流行音乐,华语流行音乐,汉语流行音乐,中国摇滚","StreetVoice 街聲",0.512,0.833,4,-6.827,0,0.0438,0.0301,0.0191,0.0746,0.286,161.982,4
spotify:track:5tIelYA9qWneeJQed55qrQ,"想和你一起去旅行","折桂令","原子邦妮",2015-04-29,240785,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:49Z,"台湾独立音乐,中国独立音乐,台湾流行音乐,华语流行音乐,汉语流行音乐,中国摇滚","StreetVoice 街聲",0.481,0.525,11,-7.521,1,0.0397,0.543,0,0.111,0.235,146.067,4
spotify:track:4W6sjMLhyz45BG1iU4IJRJ,"碧海潮生曲","桃花岛","西皮士",2010-10-10,316850,8,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:24:54Z,"中国摇滚,华语流行音乐,古风音乐","驾鹤馆",0.491,0.475,5,-7.867,0,0.029,0.438,0.92,0.108,0.0645,118.005,4
