Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0a4MMyCrzT0En247IhqZbD,"Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,78,false,,1970-01-01T00:00:00Z,"韩语流行","ADOR",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
spotify:track:3PTrVhOpgCSjjbuTCF2lFz,"寂寞留白 (電影《揚名立萬》推廣曲)","寂寞留白","告五人",2021-11-08,262872,35,false,,1970-01-01T00:00:00Z,"台湾独立音乐,中国独立音乐,华语流行音乐,台湾流行音乐,汉语流行音乐,中国摇滚","Bin Music International Limited",0.387,0.444,10,-7.44,1,0.0338,0.323,0.00239,0.0955,0.389,173.779,4
spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,"LOVE DIVE","LOVE DIVE","IVE",2022-04-05,177186,72,false,,1970-01-01T00:00:00Z,"韩语流行","STARSHIP Entertainment",0.703,0.709,1,-4.169,0,0.0433,0.00379,0.0000543,0.333,0.538,117.941,4
spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,"Attention","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,180066,77,false,,1970-01-01T00:00:00Z,"韩语流行","ADOR",0.811,0.648,10,-3.684,0,0.0368,0.236,0,0.0761,0.695,104.988,4
spotify:track:2GyZkPeiJXXBqYY1ddtsjk,"Dreams Come True","Girls - The 2nd Mini Album","aespa",2022-07-08,204933,56,false,,1970-01-01T00:00:00Z,"韩语流行","SM Entertainment / Warner Records",0.684,0.912,0,-0.205,1,0.0639,0.0762,0,0.304,0.556,98.992,4
spotify:track:0UHB9METy4VCXNgkcGqHqS,"Kiss It Better","ANTI (Deluxe)","Rihanna",2016-01-28,253080,89,true,,1970-01-01T00:00:00Z,"","Roc Nation / Rihanna",0.616,0.806,3,-4.8,0,0.0488,0.272,0,0.0672,0.876,95.028,4
spotify:track:0RDqNCRBGrSegk16Avfzuq,"Talk that Talk","BETWEEN 1&2","TWICE",2022-08-26,177466,68,false,,1970-01-01T00:00:00Z,"韩语流行","Republic Records - TWICE",0.772,0.907,3,-2.438,0,0.124,0.136,0,0.334,0.783,119.973,4
spotify:track:7hU3IHwjX150XLoTVmjD0q,"MONEY","LALISA","LISA",2021-09-10,168227,74,true,,1970-01-01T00:00:00Z,"韩语流行","YG Entertainment/Interscope Records",0.831,0.554,1,-9.998,0,0.218,0.161,0.0000612,0.152,0.396,140.026,4
spotify:track:46IZ0fSY2mpAiktS3KOqds,"Easy On Me","30","Adele",2021-11-19,224694,84,false,,1970-01-01T00:00:00Z,"柔和流行音乐","Columbia",0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4
spotify:track:5Mk1tgVrSuoWWwPVFNS0jB,"Loveeeeeee Song","Unapologetic (Deluxe)","Rihanna;Future",2012-12-11,256320,79,true,,1970-01-01T00:00:00Z,"说唱","Def Jam Recordings",0.711,0.599,5,-7.597,0,0.0317,0.507,0,0.0971,0.502,119.983,4
spotify:track:6HU7h9RYOaPRFeh0R3UeAr,"deja vu","SOUR","Olivia Rodrigo",2021-05-21,215506,88,true,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.442,0.612,2,-7.222,1,0.112,0.584,0.0000057,0.37,0.178,180.917,4
