Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:37HI0imp0t6a0MBS00lPkS,"The Mighty Rio Grande","S/T","This Will Destroy You",2007-01-08,676986,52,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:31:59Z,"后摇滚,数学摇滚,drone metal","Dark Operative",0.263,0.171,1,-11.748,1,0.0338,0.241,0.87,0.0766,0.038,111.995,4
spotify:track:782qMcOZvGpijhi9Z6FVIB,"南方","大雁","文雀",2017-07-20,313048,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:00Z,"后摇滚,中国独立音乐,中国摇滚,数学摇滚,台湾独立音乐","Sony Music Entertainment",0.535,0.498,4,-8.515,1,0.0294,0.439,0.631,0.336,0.0587,117.995,4
spotify:track:3BHlOb4aOdaMaIfJ4M13RP,"III","Who You Are Is Not Enough","Athletics",2014-04-22,370455,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:01Z,"后摇滚","Deep Elm",0.485,0.508,6,-6.813,1,0.0265,0.0955,0.462,0.307,0.0383,140.034,4
spotify:track:2KvIO4ew1TGnz1VfTJk49g,"Sæglópur","Takk...","Sigur Rós",2005-09-09,458960,46,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:03Z,"后摇滚,梦幻流行","Parlophone UK",0.336,0.476,9,-7.984,1,0.0286,0.0458,0.831,0.479,0.077,102.156,4
spotify:track:4VaLpoHqGI0Z4dNFQEEdct,"Break the Cars","7 Objects in Another Infinite Space","Wang Wen",2007-04-14,576440,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:03Z,"后摇滚,中国独立音乐,中国摇滚,数学摇滚","SpaceCircle",0.281,0.453,9,-11.076,1,0.0371,0.0183,0.857,0.337,0.0386,99.973,4
spotify:track:0cefuvQzSb8RG5YNykjhjR,"A Promise","On the First Day","All Will Be Quiet",2012-06-06,394679,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:05Z,"后摇滚,数学摇滚","Lionheart Records",0.417,0.403,9,-10.193,1,0.0388,0.00106,0.335,0.111,0.0553,113.985,4
spotify:track:7l5XWtUfIclO2xCTFvts8V,"In Your Room","Winks & Kisses: Melted","Airiel",2004-02-10,566466,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:06Z,"盯鞋摇滚,梦幻流行,慢核","Clairecords",0.187,0.945,11,-6.332,1,0.0398,0.000256,0.241,0.104,0.461,104.974,4
spotify:track:619bPJZXSzqYi5vysR51Sa,"First Breath After Coma","The Earth Is Not a Cold Dead Place","Explosions In The Sky",2003-11-04,574000,7,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:08Z,"后摇滚","Temporary Residence Ltd.",0.328,0.479,4,-13.336,1,0.0313,0.0185,0.682,0.268,0.0569,119.596,4
spotify:track:6HpchlfDUQzjRYYQCvTWUH,"New Years End","Far from Refuge (2011 Remastered Edition)","God Is An Astronaut",2007,257493,28,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:08Z,"后摇滚,太空摇滚,数学摇滚","Revive Records",0.578,0.77,4,-7.492,0,0.025,0.0579,0.891,0.117,0.593,103.985,4
spotify:track:3Zn6dm0YmSUDy9QMZ1Jijo,"The Rivers That Run Beneath This City","The Calm Blue Sea","The Calm Blue Sea",2011-08-02,583706,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:09Z,"后摇滚","Modern Outsider",0.322,0.529,9,-7.055,0,0.0365,0.0825,0.771,0.0863,0.0562,130.469,4
spotify:track:56YP60gj4oQCfGv6n9sss3,"A Footprint Of Feelings","A Footprint Of Feelings","Moonlit Sailor",2008-08-05,205733,7,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:10Z,"后摇滚","Deep Elm",0.524,0.651,2,-7.856,0,0.0332,0.184,0.947,0.252,0.186,99.994,4
spotify:track:1EKk6Xvei9N9scaQcrax2S,"The World Is Our ___","Young Mountain","This Will Destroy You",2006-06-06,432306,40,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:12Z,"后摇滚,数学摇滚,drone metal","Dark Operative",0.498,0.645,1,-6.31,1,0.0327,0.000706,0.878,0.0814,0.0393,116.036,4
spotify:track:1ZBkR2W1rHhoKJIWbcfaaD,"Take Me Somewhere Nice","Rock Action","Mogwai",2001-04-30,417226,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:12Z,"后摇滚,盯鞋摇滚,数学摇滚","[PIAS] Recordings Catalogue",0.489,0.56,2,-8.801,1,0.0293,0.395,0.339,0.15,0.0727,124.264,3
spotify:track:01k0fYnD9sFE89A2zPD38v,"The Man With The Hammer","The Stolen View","Leech",2007-01-01,510440,27,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:13Z,"后摇滚,太空摇滚","Instarmental Records",0.531,0.498,8,-7.567,1,0.0285,0.0518,0.874,0.206,0.0556,126.037,4
spotify:track:0dj3zO9YecajivHN8G4XZF,"Cast Away","Music Dreams","Capo Productions",2011-09-13,273711,8,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:14Z,"","Capo Productions",0.398,0.578,1,-12.218,0,0.0354,0.689,0.897,0.38,0.0588,100.013,4
spotify:track:1uRxyAup7OYrlh2SHJb80N,"Daydreaming","A Moon Shaped Pool","Radiohead",2016-05-08,384438,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:15Z,"艺术摇滚,另类摇滚","XL Recordings",0.299,0.263,9,-13.207,0,0.0323,0.968,0.857,0.126,0.113,137.848,3
spotify:track:54jMQHR2SEwikDhnIfnJej,"Through The Alter Ego Justifications","The Journey Studies","The Seven Mile Journey",2005-06-17,927653,17,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:15Z,"后摇滚","Fonogram/VME",0.388,0.455,0,-13.659,0,0.0296,0.187,0.872,0.109,0.0555,99.366,4
spotify:track:3kvIww8c96PkaPsZ5b5LEp,"I Love You But In The End I Will Destroy You","No Words To Voice Our Hopes And Fears","Goonies Never Say Die",2010-10-08,415373,12,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:16Z,"后摇滚,数学摇滚","Deep Elm",0.249,0.507,2,-6.781,1,0.0326,0.0256,0.951,0.126,0.0403,128.493,4
spotify:track:1tyKNQ1ywRBdUk15zu4hwy,"Moksha","The Four Trees","Caspian",2007,547813,25,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:18Z,"后摇滚,数学摇滚","Dark Operative",0.256,0.544,11,-9.423,1,0.0328,0.000701,0.805,0.106,0.0534,77.315,4
spotify:track:5zLCacdiIzFABoffDyJco2,"Our Destiny","A Romantic Dream","Blurry Lights",2014-07-10,236634,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:20Z,"后摇滚","Blurry Lights",0.318,0.468,11,-12.437,0,0.0309,0.259,0.899,0.148,0.0688,105.149,4
spotify:track:6Sp2PtfuLpqDKArtGTpy1e,"Into the Fields","Ontario Gothic","Foxes In Fiction",2014-09-23,347437,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:20Z,"梦幻流行,盯鞋摇滚","Orchid Tapes",0.524,0.266,2,-13.723,1,0.0266,0.862,0.892,0.107,0.134,105.009,4
spotify:track:58feObBgFyFLtRShsZQpQ7,"Leaving the Plains","Plains of the Purple Buffalo","*shels",2011-07-11,482893,14,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:21Z,"后摇滚,sludge metal","Shelsmusic",0.257,0.419,5,-10.265,1,0.0375,0.0315,0.785,0.0805,0.125,111.596,4
spotify:track:30AWkJaoPtjegpzvEzBczJ,"As The Little Things Go","Sagarmatha","The Appleseed Cast",2009-02-17,494826,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:22Z,"后摇滚,中西部情绪音乐,情绪,后硬核,数学摇滚","Vagrant Records",0.426,0.646,4,-7.64,1,0.0381,0.00458,0.772,0.111,0.299,119.892,4
spotify:track:4i1sGoPDemEKphKjuCEDQZ,"We Are Not What We Say We Are","The Decline & Fall Of…","Versa",2010-07-10,552746,24,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:23Z,"后摇滚","Indie Pool",0.371,0.496,9,-7.779,0,0.0308,0.11,0.797,0.0881,0.123,107.733,4
spotify:track:14lLmro3ZCkPDZIO5BMUB4,"Garden Highway","Pacific","The Echelon Effect",2014-06-16,545166,6,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:24Z,"后摇滚","Glidescope Recordings",0.506,0.29,0,-11.827,1,0.0338,0.325,0.944,0.0662,0.0905,119.997,4
spotify:track:4s1vW49lHu0lt7hjghJZJp,"All the Stars in the Sky Are Mine - Cinematic Joy Mix","All the Stars in the Sky Are Mine (Cinematic Joy Mix)","The Candlepark Stars",2009-04-15,574440,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:31Z,"后摇滚","Kirbyko Music LLC",0.309,0.262,9,-12.682,1,0.0313,0.876,0.927,0.0935,0.0571,77.137,4
spotify:track:7wzxpRn3M2UC19SDUA3vzx,"Atlantic","Atlas: I","Sleeping At Last",2014-07-08,395396,40,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:32Z,"","Asteroid B-612",0.261,0.313,0,-11.325,1,0.028,0.934,0.919,0.102,0.124,102.903,4
spotify:track:5HGtsQcIq2wnFQ85cyPowh,"Main Titles","Logan (Original Motion Picture Soundtrack)","Marco Beltrami",2017-03-03,141253,36,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:33Z,"配乐","Sony Classical",0.478,0.182,7,-15.041,1,0.0355,0.943,0.351,0.0725,0.0388,71.305,4
spotify:track:2sTZHjQgxESp9RxWFhWDeD,"Baleen Morning","Balmorhea","Balmorhea",2014-10-14,206715,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:34Z,"后摇滚,新古典","Western Vinyl",0.516,0.36,0,-12.521,1,0.0301,0.903,0.908,0.189,0.256,77.598,4
spotify:track:5vAP2PsqXhuSJnxslk2scp,"Stereophonic","Monophonic","Pray for Sound",2012-09-25,320106,3,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:34Z,"后摇滚","Pray for Sound",0.392,0.855,0,-7.299,1,0.0817,0.0135,0.824,0.211,0.0743,100.089,4
spotify:track:1EtmHc4SVSgI9oqrOAMwcB,"183 Times","Digressions","Greg Haines",2013-03-15,548007,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:37Z,"新古典,当代古典音乐,极简主义","denovali records",0.136,0.412,10,-15.536,0,0.0478,0.00438,0.946,0.104,0.0307,87.145,4
spotify:track:7HvhQfQDlYCB4n73r4duw2,"On The Nature Of Daylight","The Blue Notebooks","Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Philip Sheppard;Chris Worsey",2014-01-01,371746,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:38Z,"新古典,当代古典音乐,极简主义,古典,氛围","Universal Music Group",0.144,0.347,10,-12.662,0,0.041,0.129,0.879,0.11,0.0332,86.242,3
