Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7wsOdebEclWBr80KucGiYn,"Wong Chia Chi's Theme","Lust, Caution","Alexandre Desplat",2007-01-01,223400,29,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:16Z,"配乐","Decca Soundtracks",0.364,0.188,2,-16.362,0,0.0299,0.964,0.953,0.212,0.0522,77.936,4
spotify:track:5HFjFrNXPlEd00BpSWuyW8,"Falling Rain","Work From Home - Chilled Soundtracks","Alexandre Desplat",2020-04-04,71586,19,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:17Z,"配乐","UME - Global Clearing House",0.426,0.12,7,-21.059,1,0.0278,0.961,0.956,0.113,0.0837,88.214,4
spotify:track:02gNzeeffcCXtx9qL39qHj,"The Danish Girl","The Danish Girl (Original Motion Picture Soundtrack)","Alexandre Desplat",2015-11-27,130933,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:17Z,"配乐","Decca (UMO) (Classics)",0.189,0.18,7,-18.694,0,0.0326,0.933,0.577,0.259,0.0569,102.497,4
spotify:track:4B7fesVjOblfyF2rSAMUfu,"Lili's Dream","The Danish Girl (Original Motion Picture Soundtrack)","Alexandre Desplat",2015-11-27,323800,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:18Z,"配乐","Decca (UMO) (Classics)",0.117,0.067,5,-22.878,0,0.0347,0.941,0.947,0.109,0.0394,74.301,4
spotify:track:4TPNnfY0FpwBY9TLhFZ1Jj,"Watching Ulla","The Danish Girl (Original Motion Picture Soundtrack)","Alexandre Desplat",2015-11-27,127026,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:19Z,"配乐","Decca (UMO) (Classics)",0.24,0.0479,10,-34.374,0,0.0362,0.967,0.972,0.1,0.0379,55.702,4
spotify:track:0JY0n2uiUhZ1FWDKNXPGMV,"Gerda","The Danish Girl (Original Motion Picture Soundtrack)","Alexandre Desplat",2015-11-27,119066,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:20Z,"配乐","Decca (UMO) (Classics)",0.153,0.0972,8,-24.6,0,0.0341,0.982,0.933,0.0778,0.0607,139.041,4
spotify:track:7LR7FKVqRb1H5EP9VmOjD2,"Make-up & Costume","The Danish Girl (Original Motion Picture Soundtrack)","Alexandre Desplat",2015-11-27,196080,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:21Z,"配乐","Decca (UMO) (Classics)",0.547,0.145,7,-22.388,0,0.0458,0.968,0.864,0.0602,0.107,152.006,3
spotify:track:0HABZM5IsewSechndZ5899,"Watching Ruth","The Shape Of Water (Original Motion Picture Soundtrack)","Alexandre Desplat",2017-12-01,138040,19,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:23Z,"配乐","Decca (UMO) (Classics)",0.34,0.0808,7,-17.557,0,0.0378,0.931,0.903,0.117,0.0493,119.906,3
spotify:track:62qJB1cZ913YPiKTj75Drl,"The Mirror","The Danish Girl (Original Motion Picture Soundtrack)","Alexandre Desplat",2015-11-27,236720,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:23Z,"配乐","Decca (UMO) (Classics)",0.0743,0.112,7,-16.065,0,0.0388,0.505,0.625,0.259,0.0399,76.245,4
spotify:track:4GSvN1iRFIbsrfZ7tld0Ch,"One Step At A Time","The Danish Girl (Original Motion Picture Soundtrack)","Alexandre Desplat",2015-11-27,237440,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:25Z,"配乐","Decca (UMO) (Classics)",0.17,0.0809,2,-24.257,0,0.0375,0.94,0.947,0.108,0.146,133.718,1
spotify:track:5onuJhjxM55tyA4UBJngKx,"Lili's Death","regency era","Alexandre Desplat;Members Of The London Symphony Orchestra",2021-01-30,284373,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:26Z,"配乐","UME - Global Clearing House",0.114,0.0466,10,-20.512,1,0.0454,0.968,0.86,0.09,0.0453,68.889,5
spotify:track:30mblyCPtgyslclow8QK2u,"Postcards","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,170813,36,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:27Z,"配乐","Concord Records",0.295,0.0782,9,-20.579,0,0.0303,0.972,0.806,0.104,0.0348,83.947,4
spotify:track:27RN7O1avpZvMRwrQF1lS8,"Mr. Gateau","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,182320,23,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:28Z,"配乐","Concord Records",0.135,0.175,4,-17.986,1,0.0378,0.716,0.526,0.0864,0.0326,99.541,4
spotify:track:6fDupoXzxA5ePjuHJgm0Y1,"Meeting Daisy","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,81706,27,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:29Z,"配乐","Concord Records",0.306,0.0532,2,-21.21,1,0.0307,0.994,0.88,0.102,0.0358,79.955,4
spotify:track:2YG8oFSqcyc16X04yu3eLg,"Meeting Again","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,161013,29,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:30Z,"配乐","Concord Records",0.326,0.0976,0,-18.66,0,0.0347,0.966,0.918,0.0989,0.0345,119.594,4
spotify:track:3t0qbj1lzz2l2GyTKuaHPh,"Alone at Night","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,153480,24,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:31Z,"配乐","Concord Records",0.283,0.127,2,-21.066,1,0.0351,0.914,0.521,0.137,0.0339,71.979,3
spotify:track:13AemnAXTNRr5JWL2h1Xfc,"It Was Nice to Have Met You","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,102720,29,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:32Z,"配乐","Concord Records",0.287,0.0642,7,-24.47,0,0.0362,0.987,0.804,0.117,0.0389,101.994,3
spotify:track:0zZMFHR3UlvuqCEG2rltUE,"Nothing Lasts","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,173973,29,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:33Z,"配乐","Concord Records",0.286,0.0585,7,-21.596,0,0.0393,0.987,0.954,0.117,0.04,115.2,4
spotify:track:3HRCBZsoWXL46Rh0qFNdvd,"Love Returns","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,103813,26,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:34Z,"配乐","Concord Records",0.208,0.131,2,-19.815,1,0.0398,0.978,0.968,0.127,0.0797,143.761,3
spotify:track:7h56FA9qGEJ3h9htxBR32t,"Benjamin and Daisy","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,151653,33,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:35Z,"配乐","Concord Records",0.484,0.0367,4,-22.094,0,0.0414,0.992,0.897,0.103,0.055,62.247,4
spotify:track:44Cs0VbcbuCTxKG8q8gAKA,"A New Life","Music from the Motion Picture The Curious Case of Benjamin Button","Alexandre Desplat",2008-01-01,219120,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:36Z,"配乐","Concord Records",0.131,0.148,2,-19.221,1,0.0362,0.949,0.214,0.348,0.0375,183.576,4
