Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5o9AhUf2ADoAWfMbIcJPr5,"Great Escape","When the Flowers Were Singing","Kwoon",2009-12-10,328840,23,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:10Z,"后摇滚","Les lucioles de minuit",0.37,0.365,4,-8.218,0,0.0292,0.0131,0.887,0.114,0.0299,85.047,4
spotify:track:2ThL97UJtUQwqZHpgtkktm,"Colors In Stereo","Colors In Stereo","Moonlit Sailor",2011-06-08,219493,21,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:11Z,"后摇滚","Deep Elm",0.494,0.863,11,-6.428,0,0.0336,0.0000371,0.0104,0.363,0.631,126.027,3
spotify:track:5WnSWXPHhRoyCiTdPThllL,"Postcard From 1952","Take Care, Take Care, Take Care","Explosions In The Sky",2011-04-18,426573,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:12Z,"后摇滚","Temporary Residence Ltd.",0.318,0.54,10,-11.709,1,0.0425,0.00129,0.709,0.135,0.0745,117.977,3
spotify:track:7cGN8vsrKVLZwS8LIKLtIc,"Small Steps","It Doesn't Matter","Saxon Shore",2009-05-26,325813,6,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:13Z,"后摇滚,数学摇滚","Broken Factory",0.421,0.361,2,-12.142,1,0.0321,0.291,0.91,0.115,0.039,120.956,4
spotify:track:7HUQCrqgVJdZAiywi8rbGt,"Sophia","Lost Trails","Butterfly Explosion",2010-03-01,305085,16,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:14Z,"后摇滚,盯鞋摇滚,梦幻流行","Revive Records",0.146,0.679,1,-6.135,0,0.0311,0.192,0.894,0.161,0.0364,77.083,4
spotify:track:2zdMpqFDVw0rV43pVEcfNn,"Slavery Called Democracy","No Way Out","A Challenge Of Honour",2008,386063,13,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:15Z,"新民谣,工业,新古典,黑暗氛围音乐","Vrihaspati Recordings",0.741,0.361,7,-14.188,1,0.0648,0.0474,0.812,0.0728,0.278,129.906,4
spotify:track:3kvIww8c96PkaPsZ5b5LEp,"I Love You But In The End I Will Destroy You","No Words To Voice Our Hopes And Fears","Goonies Never Say Die",2010-10-08,415373,12,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:16Z,"后摇滚,数学摇滚","Deep Elm",0.249,0.507,2,-6.781,1,0.0326,0.0256,0.951,0.126,0.0403,128.493,4
spotify:track:1zZyuATQhM5s8qMYONmJgv,"No Particular Night or Morning","We Can Create Our Own World","deadhorse",2010-06-17,404427,4,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:17Z,"后摇滚","Broken Circles Records",0.424,0.653,7,-8.257,1,0.0423,0.00492,0.892,0.103,0.0386,125.04,4
spotify:track:1EKk6Xvei9N9scaQcrax2S,"The World Is Our ___","Young Mountain","This Will Destroy You",2006-06-06,432306,40,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:19Z,"后摇滚,数学摇滚,drone metal","Dark Operative",0.498,0.645,1,-6.31,1,0.0327,0.000706,0.878,0.0814,0.0393,116.036,4
spotify:track:5s2IPvxSyjaLV6TMRMw3I8,"Welcome to the second new era","No More Freedom","Exilym",2010-03-03,270546,1,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:20Z,"后摇滚,太空摇滚","Altered-Reality Records",0.341,0.708,9,-9.254,0,0.0377,0.00383,0.869,0.192,0.119,110.037,4
spotify:track:5oDyXSmCmPs13ZjLJxlpzH,"Gamle Årringer","Blader Som Faller Til Jorden Og Blir Til Nye Trær","Spurv",2012-06-29,386853,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:21Z,"后摇滚","Diger",0.479,0.306,0,-9.686,0,0.0256,0.676,0.823,0.112,0.0393,90.009,4
spotify:track:6bdAH3uylBy5P2E43qFWBs,"Being Here (So Confusing)","A Beauty To Fight For","The Shadow Project",2007-06-11,383933,1,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:24Z,"后摇滚","NR One Records",0.535,0.538,6,-9.851,1,0.0266,0.546,0.744,0.165,0.0952,96.021,4
spotify:track:01k0fYnD9sFE89A2zPD38v,"The Man With The Hammer","The Stolen View","Leech",2007-01-01,510440,27,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:27:25Z,"后摇滚,太空摇滚","Instarmental Records",0.531,0.498,8,-7.567,1,0.0285,0.0518,0.874,0.206,0.0556,126.037,4
