Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3kACP3ij46MtSqndhhKTna,"Not from the Past, Not for the Future","Now","Fabrizio Paterlini",2013-04-22,203831,43,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:28Z,"新古典","Fabrizio Paterlini Records",0.225,0.269,9,-11.098,1,0.0344,0.952,0.0516,0.11,0.0618,63.983,4
spotify:track:1tlJp4XADa7tYkPmgX894R,"Ljósið","Found Songs","Ólafur Arnalds",2009-08-31,209682,34,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:29Z,"新古典,当代古典音乐,极简主义","Erased Tapes",0.482,0.149,5,-11.91,1,0.0288,0.992,0.399,0.101,0.281,146.472,4
spotify:track:1yzPSO75U2mAJTO0VsNAhm,"Rain On","Cinder","Dirty Three",2005-10-11,219386,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:30Z,"后摇滚,慢核","Touch and Go Records",0.428,0.221,6,-17.573,0,0.0376,0.772,0.911,0.11,0.0436,100.078,4
spotify:track:27cRQMZQ56dkBJykWn7EFu,"I Remember a Time When Once You Used to Love Me","Horse Stories","Dirty Three",1996-09-10,371973,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:31Z,"后摇滚,慢核","Touch and Go Records",0.149,0.887,9,-6.572,1,0.186,0.0015,0.815,0.154,0.0673,81.004,4
spotify:track:1IaGx51m172CAlJ6ijauiD,"Good Morning, I Love You","Seven Saturdays","Seven Saturdays",2010-01-12,321546,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:31Z,"冷波,后摇滚","Self Released",0.229,0.454,10,-10.914,1,0.0293,0.032,0.943,0.131,0.064,99.876,4
spotify:track:6bm4msxHzOULPz9C2re7u1,"Farewell To Arms","Oh! Thee Glory Days of Ignorance","Komas Mida",2011-03-19,535906,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:32Z,"后摇滚","Komas Mida",0.278,0.292,7,-6.664,1,0.036,0.352,0.898,0.13,0.0902,124.131,4
spotify:track:337L1i1YTetVMjyIoibbN4,"At Sea","The Narrow State","Rumour Cubes",2012-02-27,373133,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:37Z,"后摇滚","Rumour Cubes",0.18,0.457,2,-5.133,1,0.0343,0.173,0.861,0.119,0.0879,114.688,3
spotify:track:40NDJ1j7m6YT7V0JPsObec,"Dreaming Is Essential","This Culture Of Background Noise","Because Of Ghosts",2006-10-02,547813,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:39Z,"后摇滚,数学摇滚","Feral Media",0.184,0.42,9,-11.123,1,0.0307,0.225,0.886,0.129,0.0589,95.026,3
spotify:track:4i1sGoPDemEKphKjuCEDQZ,"We Are Not What We Say We Are","The Decline & Fall Of…","Versa",2010-07-10,552746,24,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:40Z,"后摇滚","Indie Pool",0.371,0.496,9,-7.779,0,0.0308,0.11,0.797,0.0881,0.123,107.733,4
spotify:track:1qaC21U95NK5N0xs8cOPrD,"Lament","Rivers Arms","Balmorhea",2012-07-24,215813,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:41Z,"后摇滚,新古典","Western Vinyl",0.279,0.311,2,-13.452,1,0.0325,0.98,0.949,0.114,0.117,130.07,4
