Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:40Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:41Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:42Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:43Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:44Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:45Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:46Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
spotify:track:11TsLg0yrGlzWs8kREAb5T,"Merry Christmas Mr. Lawrence","10th Anniversary BEST","Kotaro Oshio",2001,358880,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:48Z,"","SME Records",0.426,0.455,9,-8.141,0,0.0299,0.476,0.876,0.103,0.0976,98.154,4
spotify:track:44iUVv8zdy3fZGCSbXUwXn,"Merry Christmas Mr.Lawrence","MR.VOCALIST X'MAS","Eric Martin",2009-11-11,267293,1,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:51Z,"专辑导向摇滚,舞台摇滚","Sony Music Labels Inc.",0.631,0.554,10,-9.126,0,0.0261,0.653,0.868,0.0715,0.266,102.01,4
spotify:track:6X2ZR9NF3X7RFOhmxtIkQ8,"Merry Christmas Mr. Lawrence (Main Theme)","Federica Fornabaio","Federica Fornabaio",2009-09-18,254560,6,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:53Z,"","WM Italy",0.452,0.253,10,-18.914,0,0.0457,0.985,0.92,0.0779,0.0988,108.441,4
spotify:track:67eLMETOUpwk5jza95a7i1,"Merry Christmas Mr. Lawrence","Highlights","California Guitar Trio",2011-04-20,258200,1,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:53Z,"艺术摇滚","California Guitar Trio",0.653,0.492,9,-11.287,0,0.0414,0.745,0.0719,0.0634,0.121,105.945,4
spotify:track:26UVLCOUZIfhd17owJljCl,"Merry Christmas Mr. Lawrence","FACT","FACT",2009-04-14,199600,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:57Z,"日本摇滚,旋律硬核","Vagrant Records",0.201,0.861,6,-4.864,0,0.0544,0.00458,0.0172,0.125,0.38,169.995,4
spotify:track:1fhSzLqhvsS5I1puRXAr44,"Merry Christmas Mr Lawrence (From ""Merry Christmas Mr Lawrence"")","Movie Favourites","Richard Clayderman",2017-08-25,199306,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:58Z,"轻音乐","USM Digital",0.678,0.301,11,-15.845,0,0.0303,0.784,0.61,0.135,0.295,111.046,4
spotify:track:6WY4wvlmgccWapnIg14Vy0,"Merry Christmas Mr. Lawrence","1996","坂本龍一",1996,286626,50,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:26:59Z,"日本古典音乐,氛围","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.483,0.179,10,-17.525,0,0.0364,0.95,0.846,0.11,0.252,105.482,4
