Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3BHlOb4aOdaMaIfJ4M13RP,"III","Who You Are Is Not Enough","Athletics",2014-04-22,370455,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:46Z,"后摇滚","Deep Elm",0.485,0.508,6,-6.813,1,0.0265,0.0955,0.462,0.307,0.0383,140.034,4
spotify:track:6yQJmhWSnzmJO5ULHJ07wP,"Taipei - All at Once","Taipei (All at Once)","Kyte",2013-07-16,290000,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:46Z,"后摇滚,盯鞋摇滚","Southworld",0.505,0.848,6,-6.955,1,0.0402,0.0275,0.0385,0.257,0.376,119.98,4
spotify:track:26UVLCOUZIfhd17owJljCl,"Merry Christmas Mr. Lawrence","FACT","FACT",2009-04-14,199600,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:48Z,"日本摇滚,旋律硬核","Vagrant Records",0.201,0.861,6,-4.864,0,0.0544,0.00458,0.0172,0.125,0.38,169.995,4
spotify:track:5QkaoWSFwWNQEgifhtGxFp,"在你死後才想起曾經答應陪你去散步","擱淺的人","康士坦的變化球",2016-12-01,497625,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:49Z,"台湾独立音乐,中国独立音乐,中国摇滚,台湾流行音乐,后摇滚","海邊的卡夫卡",0.431,0.525,3,-12.151,1,0.0315,0.427,0.897,0.323,0.184,80.007,4
spotify:track:42YrFCANlRZ02LOdu1p8oZ,"盛夏光年","女也","林憶蓮",2015-06-26,210031,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:50Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐","Bin Music International Limited",0.527,0.778,9,-7.602,0,0.0488,0.225,0.0000025,0.117,0.402,87.967,4
spotify:track:5ghIJDpPoe3CfHMGu71E6T,"Smells Like Teen Spirit","Nevermind (Remastered)","Nirvana",1991-09-26,301920,82,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:52Z,"垃圾摇滚,摇滚","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
spotify:track:7mP4bBFQgt6B3sJfqkIzt2,"夜空中最亮的星","世界","逃跑計劃",2012-01-01,252253,62,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:53Z,"中国摇滚,中国独立音乐,华语流行音乐,汉语流行音乐,台湾独立音乐","北京意視互動廣告有限公司",0.52,0.366,11,-8.991,1,0.0283,0.519,0,0.0998,0.136,107.992,4
spotify:track:7pM0uJ0L9oLJ70ohJ18QrR,"So Young","The Best Of","Suede",2010-11-01,222440,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:54Z,"英式摇滚,曼彻斯特音乐","Suede Ltd",0.313,0.87,8,-5.088,0,0.062,0.74,0.0000325,0.325,0.475,116.108,4
spotify:track:0QNjj37JZLxMZJYr88r1Da,"Dream On - Live Version","Stadium Rockers","Aerosmith",2020-06-12,290866,0,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:55Z,"经典摇滚,摇滚","UME - Global Clearing House",0.259,0.667,5,-6.234,0,0.0302,0.0812,0.00191,0.988,0.174,149.803,4
spotify:track:0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,90,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:20:55Z,"另类金属","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
