Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5KdSyI6QS8k9RyrVL5UQD3,"Chega de Saudade","Obrigado Brazil (Remastered)","Antônio Carlos Jobim;馬友友;Rosa Passos;Nilson Matta;Paulo Braga;Cyro Baptista;Helio Alves",2003,256359,35,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:01Z,"波萨诺瓦,巴西爵士乐,mpb,拉丁爵士乐,古典,室内音乐,法国爵士乐","Sony Classical",0.455,0.338,7,-17.099,0,0.0455,0.85,0.0701,0.0832,0.569,101.414,4
spotify:track:6mfL0mBZnEUmClrpjflslg,"Desafinado","Summer Cool Jazz","小野麗莎",2018-07-10,197493,7,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:03Z,"波萨诺瓦,波莱罗","Sony Music Entertainment",0.534,0.129,2,-16.242,1,0.0577,0.938,0,0.282,0.313,151.428,4
spotify:track:6VwzCfdvzgakT5KenhP2CJ,"Cause I Love You - Kyla Dawson","The Art Of Bizness","群星",2007-06-26,276266,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:04Z,"","Unique Recording's & Production",0.712,0.296,5,-10.977,1,0.0429,0.37,0.174,0.0924,0.248,161.961,4
spotify:track:0Fd5qH2K7UsQh4MU3MB17m,"Aquele Frevo Axé","Aquele Frevo Axé","Gal Costa",1998-12-21,232293,40,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:04Z,"mpb,波萨诺瓦,巴西爵士乐","RCA Records Label",0.752,0.339,9,-11.205,1,0.0333,0.793,0.00475,0.0807,0.562,130.012,4
spotify:track:7vxmld1f5LLIBAgZfxYOMB,"I Will Be Blessed","Lisa Ekdahl Sings Salvadore Poe","Lisa Ekdahl",2001-11-12,164226,23,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:05Z,"瑞典流行音乐,人声爵士乐","RCA Victor",0.794,0.395,3,-12.63,1,0.0668,0.856,0.000881,0.102,0.634,149.586,4
spotify:track:7vxmld1f5LLIBAgZfxYOMB,"I Will Be Blessed","Lisa Ekdahl Sings Salvadore Poe","Lisa Ekdahl",2001-11-12,164226,23,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:06Z,"瑞典流行音乐,人声爵士乐","RCA Victor",0.794,0.395,3,-12.63,1,0.0668,0.856,0.000881,0.102,0.634,149.586,4
spotify:track:1bKuA4in8s130TwdCyIdPh,"Samba do Avião","Miucha & Tom Jobim Vol. 1","Miúcha;Antônio Carlos Jobim",1977-07-15,168506,36,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:07Z,"mpb,波萨诺瓦,巴西爵士乐,拉丁爵士乐","Sony BMG Music Entertainment",0.532,0.644,11,-9.99,0,0.085,0.715,0,0.45,0.378,157.227,4
spotify:track:5qXNdKRjPw2TmHsPLYbJlL,"Jogo da Vida","Tamba Trio","Tamba Trio",1975-09-17,194293,21,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:09Z,"波萨诺瓦,巴西爵士乐,拉丁爵士乐","RCA Records Label",0.534,0.765,6,-10.641,0,0.0371,0.694,0.172,0.0811,0.804,103.303,4
spotify:track:423adBro5XVSm5e9e6WRQp,"Água de Beber","Poético","Maria Creuza",1982-09-28,161226,2,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:11Z,"波萨诺瓦,巴西爵士乐","Sony Music Entertainment",0.584,0.665,6,-9.182,1,0.041,0.688,0.000498,0.174,0.727,148.316,4
spotify:track:4rGF6kVUMejZI9WSKcOfvk,"Little Boat (O Barquinho)","Focus On...Bossa Nova","Johnny Alf",2001-03-02,168706,7,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:13Z,"波萨诺瓦,巴西爵士乐,mpb","RCA Records Label",0.415,0.489,0,-7.07,0,0.0669,0.655,0.00000165,0.189,0.603,79.86,4
spotify:track:6QxLkPb0bYvRESFAYNIV6J,"Chega de Saudade","Rosa Passos Canta Antônio Carlos Jobim - 40 Anos de Bossa Nova","Rosa Passos",1998-10-09,278266,17,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:14Z,"波萨诺瓦,巴西爵士乐","Biscoito Fino",0.6,0.453,7,-8.013,1,0.0332,0.873,0.003,0.288,0.373,139.465,4
spotify:track:5nyQjzvUDUMUV2kdqHUrCS,"A Felicidade","Bossa Nova","Quarteto Em Cy",1992-03-01,222013,6,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:16Z,"波萨诺瓦,mpb,巴西爵士乐,桑巴","Quarteto em Cy",0.448,0.378,9,-16.8,0,0.0739,0.474,0.000138,0.0669,0.758,157.92,4
spotify:track:7iY8Q446v1mQ96ZRQnsmAj,"Samba De Uma Nota So - Instrumental","Latin Byrd","Charlie Byrd",1996-01-01,174440,2,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:18Z,"波萨诺瓦,巴西爵士乐,拉丁爵士乐,爵士,冷爵士乐","Milestone",0.796,0.139,5,-21.172,0,0.0887,0.813,0.846,0.0927,0.64,110.265,5
spotify:track:17KowIkaUq0tdOLVuIyTg9,"Corcovado","João Gilberto","João Gilberto",2012,115576,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:19Z,"波萨诺瓦,巴西爵士乐,桑巴,拉丁爵士乐,冷爵士乐,爵士","World Music Records",0.464,0.0766,2,-20.21,0,0.0408,0.901,0.024,0.11,0.465,136.405,4
spotify:track:1xZJP3lavEcMYq1eva8cce,"Samba de Orfeu","The New Sound of Brazil","João Donato",1965,163191,32,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:20Z,"波萨诺瓦,巴西爵士乐,桑巴,拉丁爵士乐","RCA/Legacy",0.619,0.315,0,-18.213,1,0.0827,0.477,0.000101,0.0837,0.711,95.635,4
spotify:track:6wf7UaW8ZB6iSkIVacpxYQ,"Mas Que Nada","Tamba Trio Classics","Tamba Trio",1997-01-01,165400,29,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:34:22Z,"波萨诺瓦,巴西爵士乐,拉丁爵士乐","Universal Music Ltda.",0.679,0.724,5,-6.377,1,0.0293,0.41,0.00181,0.0751,0.806,80.325,4
