Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7e6uKgulamSn0eBAOQ4uVF,"若你真愛我","十萬個為甚麼 (Remastered 2019)","王菲",1993-01-01,272506,17,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:44Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","Cinepoly Records Co. Ltd.",0.632,0.618,1,-11.23,1,0.0301,0.134,0.0000126,0.176,0.641,100.103,4
spotify:track:6TVI643HVV2TaG9odBWiwV,"守望麥田 - 百年孤寂 廣東版","只愛陌生人","王菲",1999-10-14,318640,39,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:45Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.52,0.739,0,-5.311,1,0.0377,0.0132,0,0.113,0.298,149.956,4
spotify:track:57tTRdaPO42IIA0EESYSLr,"催眠","只愛陌生人","王菲",1999-10-14,266560,34,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:46Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.405,0.681,5,-6.877,1,0.0298,0.178,0,0.375,0.684,185.898,4
spotify:track:31kKBUeeCGuMt9fPxDybde,"你快樂所以我快樂","王菲97","王菲",1997-09-26,258426,45,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:47Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.676,0.307,8,-12.919,0,0.0279,0.51,0.00284,0.123,0.163,110.857,4
spotify:track:4djtzCvSQU0kqEE1CrLhC6,"過眼雲煙","只愛陌生人","王菲",1999-10-14,246400,28,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:48Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.532,0.242,3,-14.288,0,0.0339,0.826,0,0.119,0.155,126.052,4
spotify:track:0NxHFLIYRiMhuK4bRU4GTL,"情誡 - ""色誡""廣東版","唱遊","王菲",1998-10-01,257760,31,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:49Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.564,0.693,2,-7.1,0,0.0323,0.127,0.00000558,0.349,0.275,135.934,4
spotify:track:3z4leqkfSaXQPAyGwQruTe,"匆匆那年","匆匆那年","王菲",2014-11-07,241000,55,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:50Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.547,0.343,10,-10.475,0,0.0301,0.954,0.00112,0.113,0.401,127.977,3
spotify:track:6mRBFrMsaCS3RxNIhQnvdx,"流星","情‧FAYE‧得意","王菲",2005,279533,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:51Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","Cinepoly Records Co. Ltd.",0.403,0.486,6,-9.53,0,0.0352,0.0129,0.0946,0.169,0.235,84.049,4
spotify:track:1i7UFswJJkckQWRQzk6QOE,"君心我心","菲靡靡之音","王菲",1995,240160,20,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:52Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","Cinepoly Records Co. Ltd.",0.567,0.355,1,-12.587,1,0.0269,0.296,0.000739,0.138,0.349,100.298,4
spotify:track:4gIGOIdVSaaF4qBelIf0yE,"美錯","將愛","王菲",2003-11-07,241720,34,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:25:54Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐,中国独立音乐","KC Digital",0.464,0.206,0,-14.637,1,0.0437,0.744,0,0.106,0.187,79.985,4
