Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3dpoDuvsNLhmT4ndHbG2do,"Another Day of Sun","尺八Classic","Justin Hurwitz;Bamboo Flute Orchestra",2018-10-24,234320,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:17Z,"配乐","Sony Music Labels Inc.",0.609,0.45,3,-8.452,1,0.029,0.556,0.000087,0.0869,0.8,124.956,4
spotify:track:5LbKKBHipqIm06BuVvH5A5,"Someone In The Crowd","La La Land","Emma Stone;Callie Hernandez;Sonoya Mizuno;Jessica Rothe",2017-02-17,259613,37,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:18Z,"音乐剧","UMGRI Interscope",0.627,0.542,0,-9.137,0,0.179,0.0997,0.0000208,0.223,0.274,128.066,4
spotify:track:1joFnRAR5U4kQb34ubZ7sD,"Mia & Sebastian’s Theme","La La Land (Original Motion Picture Score)","Justin Hurwitz",2016-12-09,96893,49,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:19Z,"配乐","UMGRI Interscope",0.439,0.187,9,-16.261,1,0.0759,0.976,0.906,0.139,0.179,65.284,4
spotify:track:4r9hiElqKWMPT4Z3vN2exq,"A Lovely Night","La La Land (Original Motion Picture Soundtrack)","Ryan Gosling;Emma Stone",2016-12-09,236506,66,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:19Z,"音乐剧","UMGRI Interscope",0.364,0.478,7,-8.645,1,0.0473,0.299,0.0015,0.124,0.493,134.551,4
spotify:track:4f6PUDRYJI51UrZy0jDAxD,"Herman’s Habit","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,111613,57,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:20Z,"配乐","UMGRI Interscope",0.588,0.593,8,-9.448,1,0.052,0.0634,0.889,0.214,0.668,123.678,4
spotify:track:0PalOqMHzXSdwI4oRPYzNw,"Planetarium","La La Land (Original Motion Picture Score)","Justin Hurwitz",2016-12-09,259346,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:22Z,"配乐","UMGRI Interscope",0.248,0.136,7,-15.697,1,0.038,0.926,0.765,0.249,0.0398,127.282,4
spotify:track:6Ne9nKQaonMGXpyvq1S2m5,"Summer Montage / Madeline","La La Land (Original Motion Picture Score)","Justin Hurwitz",2016-12-09,124253,36,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:23Z,"配乐","UMGRI Interscope",0.609,0.448,7,-8.247,1,0.0288,0.116,0.881,0.306,0.63,107.818,4
spotify:track:1xk2Z84gbcn4tPXiiutxzS,"City Of Stars - From ""La La Land"" Soundtrack","City Of Stars (From La La Land Soundtrack)","Ryan Gosling;Emma Stone",2016-11-18,149720,61,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:23Z,"音乐剧","UMGRI Interscope",0.492,0.116,2,-15.15,0,0.0379,0.899,0.00000193,0.0888,0.434,111.787,4
spotify:track:2ekIb2QPDS3nMQWP6OyzM3,"Engagement Party","La La Land","Justin Hurwitz",2017-02-17,87213,28,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:24Z,"配乐","UMGRI Interscope",0.533,0.0613,3,-22.631,1,0.0388,0.991,0.875,0.116,0.298,85.093,4
spotify:track:6j0wBBAP3hMe4t1Ymj7GIe,"Audition (The Fools Who Dream)","La La Land (Original Motion Picture Soundtrack)","Emma Stone",2016-12-09,228266,57,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:25Z,"音乐剧","UMGRI Interscope",0.344,0.157,5,-11.773,1,0.0457,0.756,0,0.351,0.313,57.86,4
spotify:track:5jdClu7X0U5TgVr2ObewxS,"Epilogue","La La Land (Original Motion Picture Score)","Justin Hurwitz",2016-12-09,458880,40,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:26Z,"配乐","UMGRI Interscope",0.411,0.276,7,-11.593,1,0.0432,0.667,0.796,0.52,0.142,127.97,4
spotify:track:7gXjNlZlfP1GXRH1WvyuE2,"The End","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,46266,53,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:27Z,"配乐","UMGRI Interscope",0.176,0.0465,0,-14.545,1,0.0401,0.923,0.992,0.0493,0.216,89.818,1
