Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3BHlOb4aOdaMaIfJ4M13RP,"III","Who You Are Is Not Enough","Athletics",2014-04-22,370455,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:30Z,"后摇滚","Deep Elm",0.485,0.508,6,-6.813,1,0.0265,0.0955,0.462,0.307,0.0383,140.034,4
spotify:track:2TghNK6vFzRQhEH8cyi4Dt,"燈光","查理","謝震廷",2015-12-31,292346,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:32Z,"华语流行音乐","種子音樂 SEEDMUSIC",0.441,0.202,1,-12.906,1,0.0395,0.856,0.0108,0.103,0.382,72.349,4
spotify:track:51PYzHOuwTngW2whaPoYFW,"年輪說","年輪說","楊丞琳",2016-09-30,266452,2,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:33Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Universal Music Taiwan",0.478,0.37,4,-9.806,1,0.0523,0.758,0,0.134,0.318,147.995,4
spotify:track:26UVLCOUZIfhd17owJljCl,"Merry Christmas Mr. Lawrence","FACT","FACT",2009-04-14,199600,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:34Z,"日本摇滚,旋律硬核","Vagrant Records",0.201,0.861,6,-4.864,0,0.0544,0.00458,0.0172,0.125,0.38,169.995,4
spotify:track:0mt02gJ425Xjm7c3jYkOBn,"Lust For Life (with The Weeknd)","Lust For Life","Lana Del Rey;The Weeknd",2017-07-21,264066,72,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:35Z,"","Polydor Records",0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,4
spotify:track:5QkaoWSFwWNQEgifhtGxFp,"在你死後才想起曾經答應陪你去散步","擱淺的人","康士坦的變化球",2016-12-01,497625,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:36Z,"台湾独立音乐,中国独立音乐,中国摇滚,台湾流行音乐,后摇滚","海邊的卡夫卡",0.431,0.525,3,-12.151,1,0.0315,0.427,0.897,0.323,0.184,80.007,4
spotify:track:1iGKClaJTLBmHzVGsYY9KR,"Beyond the Heliosphere","Sine Dust","36",2015-03-16,383175,27,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:37Z,"drone,氛围,太空音乐,黑暗氛围音乐","3six Recordings",0.0798,0.189,3,-20.318,0,0.0358,0.908,0.98,0.0746,0.0397,79.586,4
spotify:track:4syC8Nrsk6NDzVSBzT6rXB,"小城大事 - Live","活出生命Live演唱會","張學友",2004-12-21,230253,34,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:38Z,"粤语流行,华语流行音乐,汉语流行音乐,台湾流行音乐","Universal Music Taiwan",0.419,0.307,7,-10.694,0,0.0381,0.897,0,0.14,0.171,126.801,4
spotify:track:3PDuPLArSTzKH2W2hKYjh0,"Automatic","Automatic / time will tell","宇多田光",1998-12-08,312066,58,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:41Z,"日本流行,日本节奏蓝调,动漫","Universal Music LLC",0.716,0.879,1,-3.967,1,0.0549,0.0574,0.000113,0.131,0.728,94.851,4
spotify:track:5aqU0FigrEAI9IEyIGZplR,"地盡頭","Shirley's Era","關淑怡",2009-06-16,257266,34,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:21:43Z,"粤语流行,汉语流行音乐","Neway Star Limited",0.424,0.293,3,-9.894,0,0.0749,0.874,0,0.114,0.0896,123.841,4
