Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2PPyXCGmafgwoKXuY9xEJk,"一步成詩","詩","王诗安",2018-09-14,198540,39,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:09Z,"中国节奏蓝调,华语流行音乐,台湾流行音乐,汉语流行音乐,台湾独立音乐","Fu Music Limited",0.459,0.632,1,-6.211,0,0.0341,0.7,0,0.117,0.55,76.197,5
spotify:track:3BHlOb4aOdaMaIfJ4M13RP,"III","Who You Are Is Not Enough","Athletics",2014-04-22,370455,42,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:10Z,"后摇滚","Deep Elm",0.485,0.508,6,-6.813,1,0.0265,0.0955,0.462,0.307,0.0383,140.034,4
spotify:track:4m4e3vIghV2QkHuOf83M7N,"可惜不是你","絲路","梁靜茹",2005-09-16,285830,59,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:11Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Rock Records Co., Ltd.",0.373,0.32,6,-8.593,1,0.0316,0.83,0,0.179,0.357,73.775,4
spotify:track:1u7Lb1t1lacIy468n201YL,"Sex Therapy","Sex Therapy: The Experience","Robin Thicke",2009-01-01,275240,41,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:11Z,"","The Neptunes",0.704,0.524,3,-4.404,1,0.0294,0.647,0,0.228,0.37,112.019,4
spotify:track:22VjpPvok4jeoRjWlQThZr,"Lost Stars","Lost Stars","Adam Levine",2014-06-23,267920,34,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:12Z,"","222 Records/Interscope",0.498,0.583,0,-4.762,1,0.0274,0.105,0,0.0698,0.4,82.071,4
spotify:track:2ErfQazNwfr836QhJAHMOi,"Loneliness - Remastered","Relax Edition 2","Blank & Jones;Bobo in White Wooden Houses",2005-09-26,330760,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:13Z,"传思,舒适,巴洛克流行音乐","Soundcolours",0.367,0.308,0,-13.016,1,0.0277,0.701,0.0173,0.102,0.0391,99.954,4
spotify:track:0DTAXOUxytmSJq6e7UesSn,"NoNoNo - Japanese Ver.","NoNoNo","Apink",2014-10-22,219813,25,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:14Z,"韩语流行","Universal Music LLC",0.759,0.896,4,-2.227,0,0.0329,0.219,0,0.124,0.67,106.022,4
spotify:track:5GI5JoHUc7qPXynGd4325s,"電梯","00:00","郁可唯",2016-12-02,293754,19,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:14Z,"古风音乐,华语流行音乐,汉语流行音乐,台湾流行音乐","Rock Records Co., Ltd.",0.42,0.294,3,-12.162,1,0.0285,0.832,0.00000617,0.141,0.24,160.055,4
spotify:track:4suCGiykOyXNbeqB5xdPSQ,"Touch","Love You","Barcelona",2014-02-18,267080,30,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:16Z,"zouk","NBD LLC",0.572,0.338,9,-13.814,0,0.153,0.19,0.011,0.0669,0.238,149.734,4
spotify:track:6Yj8kVuVR3UPxx9r5eFEoV,"Miniskirt","MINISKIRT","AOA",2014-01-16,179808,78,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:17Z,"韩语流行","FNC ENTERTAINMENT",0.758,0.858,5,-2.502,1,0.0464,0.43,0,0.201,0.963,119.992,4
spotify:track:3eKLKcIAPBkA2vrMtg1UAm,"Melody - Live","Soul Power (Live Concert)","陶喆",2003-09-09,304573,27,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:20Z,"华语流行音乐,中国节奏蓝调,台湾流行音乐,汉语流行音乐","Gold Typhoon Taiwan",0.632,0.413,0,-8.48,0,0.0316,0.734,0,0.231,0.281,110.001,4
spotify:track:1vvNmPOiUuyCbgWmtc6yfm,"My Way","My Way","Calvin Harris",2016-09-16,219159,77,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:22Z,"电音","Columbia",0.818,0.913,4,-3.06,0,0.0426,0.093,0.0000369,0.161,0.536,119.986,4
spotify:track:6EV4S6sY1s8Ng7gXe1CP6w,"Attention - Acoustic Cover","Relaxing Classical Playlist: Piano for Lazy Afternoons","Charlie Puth;Marcus Frye",2019-03-14,228092,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:23Z,"柔和流行音乐","RMG Classical Records",0.57,0.25,4,-13.379,0,0.0718,0.982,0.928,0.105,0.209,83.131,4
spotify:track:23XXMK9SQBFwndnbgbcMPa,"WEE WOO","The 1st Mini Album 'HI! PRISTIN'","PRISTIN",2017-03-21,192830,47,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:25Z,"韩语流行","PLEDIS ENTERTAINMENT",0.834,0.917,10,-2.838,1,0.0982,0.0895,0.000167,0.0532,0.699,129.981,4
spotify:track:6gbmNLFDU5xQWt7Kz7XzE5,"Silent Love (Main Theme) - From ""A Scene at the Sea""","HISAISHI / MIYAZAKI / KITANO","久石讓",2019-08-30,413693,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:27Z,"日本古典音乐,动漫","Milan Records",0.462,0.458,0,-11.793,0,0.041,0.671,0.556,0.0817,0.0683,163.795,4
spotify:track:3259KMEOluAyNW3PHIhBcU,"SORRY","《樓蘭》","艾福杰尼",2018-12-05,305235,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:28Z,"中国嘻哈,中国独立音乐","北京沙漠兄弟娛樂傳媒有限公司",0.836,0.511,6,-8.733,0,0.076,0.287,0,0.204,0.133,127,4
spotify:track:1UFw9pupo6xxvBiZxEkIUE,"第三者","戀愛的力量","梁靜茹",2003-11-22,236800,24,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:28Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Rock Records Co., Ltd.",0.45,0.381,0,-9.147,1,0.0468,0.786,0,0.106,0.263,132.203,4
spotify:track:4W6sjMLhyz45BG1iU4IJRJ,"碧海潮生曲","桃花岛","西皮士",2010-10-10,316850,8,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:29Z,"中国摇滚,华语流行音乐,古风音乐","驾鹤馆",0.491,0.475,5,-7.867,0,0.029,0.438,0.92,0.108,0.0645,118.005,4
spotify:track:36oZLNDuowTX0LCu3prwgH,"海枯石爛","Romance","王儷婷",2011-07-22,232693,37,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:30Z,"波萨诺瓦","HIM International Music Inc.",0.532,0.315,2,-10.948,1,0.0284,0.916,0.0000166,0.1,0.255,110.011,4
spotify:track:3LzW4iAAonM3kFBkFegR0R,"店小二","我的電台 FM","S.H.E",2008-09-01,252666,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:33Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","HIM",0.605,0.617,1,-7.165,1,0.0258,0.372,0,0.0871,0.45,128.127,4
spotify:track:3rSZRMIfccgJxd1TvQLa7v,"大眠","CYNDILOVES2SING 愛。心凌","王心凌",2018-12-07,239555,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:18:33Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Universal Music Taiwan",0.567,0.519,4,-6.88,1,0.0454,0.764,0,0.13,0.233,136.197,4
