Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ImWymsdxSNFQlfnBP3cqA,"Song Before You Came","We Hum on the Way Home (2019 Mix)","Motohiro Nakashima",2019-11-03,341854,26,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:28Z,"drone","November",0.383,0.221,2,-16.905,1,0.0573,0.8,0.138,0.114,0.167,120.064,1
spotify:track:73l1aS6gz3xQ907XJAFyk3,"Drowsy Melody","Piano Music & Nature Sounds for Kids: Cradle Songs, Piano Relaxation, Soothing Lullabies for Babies","Bedtime Baby",2019-08-20,292560,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:29Z,"摇篮曲,美国原住民音乐","Dora Records",0.244,0.198,5,-19.752,1,0.0437,0.888,0.82,0.265,0.0535,150.934,3
spotify:track:1Z9nygVkdoxUSOFNHu1JZm,"外婆","Live! 彩虹演繹金承志精選集 1","上海彩虹室内合唱团",2018-01-31,286724,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:30Z,"中国独立音乐,众赞歌","西瓜山",0.278,0.186,5,-14.408,1,0.0358,0.991,0.078,0.0886,0.165,100.466,3
spotify:track:0AQioBUMrMN3ikEuv8sJjU,"明明愛你","歲月這把刀","林凡",2014-04-30,327586,51,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:30Z,"华语流行音乐,台湾流行音乐,汉语流行音乐","Rock Records Co., Ltd.",0.57,0.478,1,-7.867,1,0.0316,0.792,0.00000262,0.107,0.3,135.802,4
spotify:track:3Iyzdie1LZW22Z9S2hIvHl,"You Don't Know Love","You Don't Know Love","Olly Murs",2016-07-08,198480,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:31Z,"","RCA Records Label",0.676,0.655,2,-5.705,0,0.0496,0.00091,0,0.224,0.371,118.673,4
spotify:track:2Fe6Sz8CjWow6lE9rzjbL7,"雲男","現象師 - EP","現象師",2014-09-30,428000,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:32Z,"后摇滚,台湾独立音乐","StreetVoice 街聲",0.722,0.588,2,-10.956,1,0.0322,0.629,0.947,0.108,0.343,120,4
spotify:track:4wjWt0RgfinJRXbUJmhuUH,"朝霧の森から","<音のアロマテラピー>森からの贈り物","神山純一",2008-04-23,234475,4,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:36Z,"","Victor",0.728,0.0562,2,-16.911,0,0.0627,0.978,0.857,0.349,0.293,124.035,4
spotify:track:2d48mamATjby7wgPjdrSOQ,"Craving You","Life Changes","Thomas Rhett;Maren Morris",2017-09-08,223626,64,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:38Z,"国家/地区,原音乡村音乐,流行乡村音乐","The Valory Music Co.",0.613,0.84,9,-3.799,0,0.0352,0.00083,0,0.341,0.527,104.975,4
spotify:track:1ngU9inJil8TluQW9gLTLN,"空頭支票","說 艾怡良","艾怡良",2016-05-27,305326,19,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:39Z,"台湾流行音乐,华语流行音乐,汉语流行音乐,中国独立音乐","Sony Music Entertainment",0.64,0.366,7,-8.732,0,0.0298,0.0304,0,0.127,0.483,81.977,4
spotify:track:2pT7sjZgCjPueZT4y7qvRL,"幸福就好 - <我租了一個情人>片尾曲","幸福就好","苏盈之",2012,204284,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:43Z,"台湾流行音乐,华语流行音乐,汉语流行音乐","台灣海蝶",0.533,0.492,3,-7.347,1,0.0359,0.484,0,0.125,0.35,127.643,4
spotify:track:0zCPNyjPhDv3n45gaJeEG5,"Graduation Song ~Pieces of Memory~ (Full Size)","Kitkit's Love for...","Kitkit Lu",2019-12-24,217937,21,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:44Z,"古风音乐","Kitkit Lu",0.547,0.396,8,-10.075,1,0.0297,0.835,0.00376,0.0881,0.136,121.024,3
spotify:track:0fIOacVe000P5pNhaKQlQw,"Love Me Like You","Get Weird (Deluxe)","Little Mix",2015-11-06,197786,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:45Z,"","Syco Music",0.785,0.674,7,-3.936,1,0.043,0.208,0,0.284,0.848,106.058,4
spotify:track:6iK4LokzX8nLMjPWsZYYYO,"past and language","the book about my idle plot on a vague anxiety","toe",2012-06-20,330493,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:22:49Z,"数学摇滚,后摇滚,中西部情绪音乐,日本独立音乐","Machupicchu Industrias",0.546,0.643,7,-9.612,1,0.03,0.271,0.907,0.109,0.198,127.958,4
