Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7di8Ab7fGRGwiAh9rluEzA,"The Question","The Question","Anna Tivel",2019-04-19,292493,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.326,0.312,0,-8.354,0,0.0391,0.73,0.00000242,0.169,0.134,70.513,4
spotify:track:7uW3tY0wXEeEkxILzAoax7,"Fenceline","The Question","Anna Tivel",2019-04-19,265386,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.439,0.231,1,-14.485,1,0.0376,0.755,0.000838,0.0898,0.2,151.711,3
spotify:track:1WZ1KCaw3SKkJ5ZoWHTdi7,"Shadowland","The Question","Anna Tivel",2019-04-19,227466,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.388,0.17,11,-15.72,0,0.0402,0.909,0.00185,0.0797,0.0577,142.123,3
spotify:track:4JcPfWA14qOoKpdFAXAbtU,"Figure It Out","The Question","Anna Tivel",2019-04-19,266120,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.462,0.129,10,-16.32,1,0.0385,0.78,0.00000379,0.104,0.276,128.391,3
spotify:track:2qGRiydVEy4pbSoPLsf57S,"Minneapolis","The Question","Anna Tivel",2019-04-19,250946,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.357,0.179,6,-11.42,1,0.034,0.926,0.0000454,0.344,0.192,142.298,3
spotify:track:0NWUcGDXhwTOw13x6uQvx3,"Worthless","The Question","Anna Tivel",2019-04-19,230720,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.661,0.497,4,-9.548,1,0.0645,0.553,0.0000509,0.181,0.775,145.408,4
spotify:track:7kauKMhUiTCfSQmuvB8kAX,"Anthony","The Question","Anna Tivel",2019-04-19,204733,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.345,0.293,0,-10.187,1,0.0399,0.673,0.0000207,0.341,0.259,109.319,4
spotify:track:1Lg2YPpI9VlNLrUNVQlLGv,"Homeless Child","The Question","Anna Tivel",2019-04-19,194426,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.615,0.156,2,-14.925,1,0.0379,0.903,0.00000314,0.142,0.211,79.145,4
spotify:track:7pfID5iPfvlnF7QV7sM1cc,"Velvet Curtain","The Question","Anna Tivel",2019-04-19,218533,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.573,0.232,0,-13.325,1,0.0499,0.799,0.00000181,0.0838,0.296,147.196,3
spotify:track:2ezZUGSVLP53Ybtxos0nfs,"Two Strangers","The Question","Anna Tivel",2019-04-19,323053,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:17:32Z,"独立民谣,氛围民谣,流行唱作人","Fluff and Gravy",0.274,0.226,4,-12.516,1,0.038,0.928,0.000109,0.134,0.217,76.932,4
spotify:track:4oky4nbhVgd41X1rSNlcWD,"Embrace","Drift","Agoria;Phoebe Killdeer",2019-04-26,242564,35,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.659,0.537,7,-9.57,0,0.0547,0.558,0.518,0.113,0.924,95.009,4
spotify:track:0Pxo3J0alsDbf6bZTJ4cHR,"You’re Not Alone","Drift","Agoria;Blasé",2019-04-26,169041,49,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.698,0.743,8,-5.507,0,0.0353,0.000291,0.417,0.396,0.436,108.019,4
spotify:track:3kuwBppnz61EdsVspqBNcC,"Arêg","Drift","Agoria",2019-04-26,282248,20,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.306,0.458,1,-10.207,1,0.0367,0.00182,0.795,0.106,0.0303,139.993,4
spotify:track:0X01FvTXjg9uTdIfHWKTVu,"It Will Never Be The Same","Drift","Agoria;Sacha Rudy",2019-04-26,112434,9,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"法国独立流行音乐","Virgin/Mercury",0.745,0.279,9,-13.829,0,0.0344,0.145,0.309,0.0883,0.417,105.99,4
spotify:track:5k7ffkIffxtqYYuKS9FGJl,"Call Of The Wild","Drift","Agoria;STS",2019-04-26,198376,21,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.842,0.392,1,-6.069,1,0.326,0.0199,0.0726,0.574,0.3,67.615,4
spotify:track:1epsha6I1b1uaaPe7uKbvo,"Dominae","Drift","Agoria",2019-04-26,178522,15,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.732,0.735,7,-8.861,1,0.0616,0.0652,0.916,0.372,0.375,123.891,4
spotify:track:5bJQnJwg7jRTkGwYgXBiFt,"A One Second Flash","Drift","Agoria",2019-04-26,220850,11,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.574,0.894,0,-6.447,0,0.0368,0.0000875,0.609,0.113,0.154,115.014,4
spotify:track:6sH7LTzonbkNleLPvk1Yie,"Remedy","Drift","Agoria;NOEMIE",2019-04-26,178788,44,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.607,0.705,11,-7.25,0,0.0504,0.124,0.000239,0.109,0.167,120.986,4
spotify:track:1TJPT6k9H4JnkZbEjGegxF,"Scala","Drift","Agoria;Jacques",2019-04-26,264731,45,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"法国独立流行音乐,法国浩室","Virgin/Mercury",0.646,0.637,2,-8.489,1,0.0322,0.000375,0.437,0.0673,0.164,124.016,4
spotify:track:3wcEgsSqJYJzL9x67QhCoH,"Computer Program Reality","Drift","Agoria",2019-04-26,276346,12,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:19:13Z,"","Virgin/Mercury",0.233,0.479,8,-9.171,1,0.0525,0.0864,0.933,0.607,0.0828,195.819,3
spotify:track:1oA2PwPg5iiZGBYErvSWi9,"Blessuð Börnin","Happy Earthday","Bjarki",2019-02-15,174809,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.647,0.248,9,-14.581,0,0.13,0.952,0.873,0.116,0.12,156.028,4
spotify:track:2gtf5uQGF6Pp87kNhbPZxf,"Alone in Sandkassi","Happy Earthday","Bjarki",2019-02-15,188340,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.67,0.52,0,-11.886,1,0.106,0.00556,0.859,0.109,0.312,193.89,4
spotify:track:72vtINItJERnZALHbAXOJW,"( . )_( . )","Happy Earthday","Bjarki",2019-02-15,349090,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.664,0.85,1,-11.177,1,0.0578,0.0747,0.815,0.0815,0.214,154.007,4
spotify:track:3CNlMZPgiZKnUO6ROJKJqj,"Two-brainedness","Happy Earthday","Bjarki",2019-02-15,86522,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.414,0.236,3,-13.175,0,0.226,0.964,0.908,0.123,0.262,83.117,3
spotify:track:0Sb8GVR3vtbCjTAez88Kk4,"AN6912","Happy Earthday","Bjarki",2019-02-15,335179,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.41,0.441,7,-13.679,1,0.0429,0.332,0.922,0.123,0.164,130.285,4
spotify:track:2bOrRpo68KGOE691OdQRDl,"Healthy Texting","Happy Earthday","Bjarki",2019-02-15,116560,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.674,0.596,11,-12.509,0,0.0647,0.693,0.817,0.0992,0.0615,119.97,4
spotify:track:7DwMjrCix4cMexjPgcWdNO,"Bheiv_sheep","Happy Earthday","Bjarki",2019-02-15,336012,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.681,0.753,7,-13.839,1,0.0655,0.227,0.803,0.0957,0.106,132.94,4
spotify:track:3SiRg6dOCKsqXyT0A96mzd,"ANa5","Happy Earthday","Bjarki",2019-02-15,191510,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.621,0.536,11,-12.284,1,0.0563,0.0121,0.589,0.253,0.45,160.057,4
spotify:track:4bEyGpvSsgjNawpKkyucXv,"Cereal Rudestorm","Happy Earthday","Bjarki",2019-02-15,302884,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.725,0.664,9,-15.253,1,0.0391,0.23,0.733,0.12,0.0735,133.997,4
spotify:track:4kZMmTombPFTKFlIgNx9yI,"Salty Grautinn","Happy Earthday","Bjarki",2019-02-15,141134,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.609,0.573,11,-15.197,0,0.0656,0.187,0.878,0.182,0.273,171.068,4
spotify:track:5EG5B2tCOBF0tJRqcfNgI2,"Sprinq 3-2","Happy Earthday","Bjarki",2019-02-15,247164,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.0819,0.2,0,-18.752,1,0.0406,0.162,0.72,0.505,0.154,83.979,1
spotify:track:3C1bEYAEFB7UIcAxR4UqH2,"Plastic Memories","Happy Earthday","Bjarki",2019-02-15,264000,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.49,0.494,1,-13.015,0,0.276,0.0698,0.746,0.359,0.313,38.405,4
spotify:track:57FcePeem7Fdy7T0SQCzjF,"Lita og Leira","Happy Earthday","Bjarki",2019-02-15,231640,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.717,0.351,7,-14.224,0,0.0535,0.644,0.915,0.0848,0.35,120.04,4
spotify:track:61Tc1JiCcc90t7lmvQzz9O,"Happy Screams","Happy Earthday","Bjarki",2019-02-15,155076,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.415,0.356,10,-12.887,0,0.033,0.0829,0.392,0.362,0.115,136.101,4
spotify:track:3WJbuQRPFMRB2BGvU0o2oz,"UXI","Happy Earthday","Bjarki",2019-02-15,354691,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:18Z,"高科技舞曲,智能舞曲,acid techno","!K7 Records",0.218,0.556,9,-12.194,0,0.0391,0.111,0.0802,0.295,0.0565,139.647,5
spotify:track:4kHxn9GBC8tjYdUNcftwzd,"Towards Isa","Isa","Croatian Amor",2019-01-25,185005,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲","Posh Isolation",0.26,0.451,1,-15.102,1,0.0679,0.893,0.574,0.114,0.111,130.958,4
spotify:track:0XczBG6HsUijFKqhAWnUuf,"In Alarm Light","Isa","Croatian Amor;Soho Rezanejad",2019-01-25,258050,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲","Posh Isolation",0.307,0.51,9,-9.168,0,0.0747,0.339,0.64,0.076,0.235,128.044,3
spotify:track:18pyzShyc8rj33ngRE6zDB,"Point Reflex Blue","Isa","Croatian Amor;Soho Rezanejad",2019-01-25,291362,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲","Posh Isolation",0.537,0.556,9,-9.146,0,0.0435,0.262,0.447,0.0956,0.0379,145.016,4
spotify:track:2qq8p5OQoYUhgxdXeHPD2W,"Eden 1.1","Isa","Croatian Amor",2019-01-25,114127,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲","Posh Isolation",0.349,0.252,7,-19.485,0,0.243,0.762,0.0843,0.345,0.0398,80.744,3
spotify:track:2K25mEW73I4FJtIqfRuItp,"Siren Blur Accent","Isa","Croatian Amor;Soho Rezanejad",2019-01-25,268659,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲","Posh Isolation",0.202,0.329,9,-15.727,0,0.0412,0.906,0.896,0.0787,0.0373,64.919,3
spotify:track:4Akr4lLb1yTjLfdgEl4vJU,"Dark Cut","Isa","Croatian Amor;Jonnine",2019-01-25,280901,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲","Posh Isolation",0.3,0.544,5,-8.119,1,0.0486,0.502,0.806,0.161,0.238,83.336,4
spotify:track:2tieUvrfndpNGWC1rnzbbg,"Into Salt","Isa","Croatian Amor;Alto Aria",2019-01-25,269982,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲,具象音乐","Posh Isolation",0.384,0.0795,7,-18.769,0,0.0443,0.962,0.0156,0.0978,0.0579,119.326,4
spotify:track:7bIciJZMpBc7EH3FczdqDU,"Eden 1.2","Isa","Croatian Amor",2019-01-25,142616,0,false,21f4rm2w2ug6ouqvbbgymhp7a,2019-08-05T09:36:59Z,"实验,氛围,智能舞曲","Posh Isolation",0.341,0.178,7,-18.527,0,0.0485,0.762,0.133,0.22,0.187,119.392,3
