Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5BLTLBuO9LF4o5wIajG9Vs,"キャンパス・ガール","ファンタジー","岩崎宏美",2007-02-21,190569,17,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:08Z,"城市流行音乐,歌谣曲,演歌,日本流行","Victor",0.568,0.572,5,-6.64,1,0.0374,0.768,0,0.265,0.471,87.851,4
spotify:track:4qDqPml0mwbX3cnT48HW4W,"STARDUST NIGHT","JADOES GOLDEN★BEST","JADOES",2005-05-18,235706,1,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:16Z,"城市流行音乐","Nippon Columbia Co., Ltd.",0.645,0.707,0,-6.19,1,0.0343,0.391,0.0000817,0.364,0.654,99.052,4
spotify:track:1ouDQAcvOIeuLgRDPhMqie,"Step by Step","It's Friday","JADOES",1986-11-21,252320,6,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:17Z,"城市流行音乐","Nippon Columbia Co., Ltd./NIPPONPHONE",0.597,0.86,2,-5.09,0,0.0369,0.0847,0.000108,0.134,0.868,91.046,4
spotify:track:2doiTO3yJJDYVALLo4zJep,"ルール","Hourglass","古内東子",1996-06-21,256640,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:18Z,"歌谣曲,城市流行音乐,日本节奏蓝调,日本流行,演歌","Sony Music Direct(Japan)Inc.",0.805,0.518,11,-7.994,0,0.066,0.285,0.0121,0.26,0.961,76.004,4
spotify:track:1a6dXyCu3izFQuW5VUzoYc,"シンプル・ラブ","ネオ・ヒストリー","大橋純子",1993,240133,0,true,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:19Z,"城市流行音乐,歌谣曲,日本流行","VAP INC.",0.636,0.836,8,-9.616,1,0.0619,0.0186,0.000022,0.228,0.801,127.027,4
spotify:track:6ivvRPoZR5GZGej4CEr27u,"カンバセーション","パンドラの小箱","岩崎宏美",2007-03-21,311739,12,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:21Z,"城市流行音乐,歌谣曲,演歌,日本流行","Victor",0.662,0.381,1,-11.259,1,0.0241,0.591,0.00000138,0.0408,0.375,94.417,4
spotify:track:35ZhWyouTP3E4OkmFXJSRR,"LOVER'S NIGHT","WAVE","杏里",1985-06-21,262426,17,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:22Z,"城市流行音乐,日本流行,歌谣曲","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.696,0.894,0,-4.416,1,0.0316,0.468,0.0000462,0.278,0.6,90.369,4
spotify:track:2xqf4C02nOf16jTdhneK5l,"SAY IT AGAIN","DEAR HEARTS","伊東たけし",1984,242360,8,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:26Z,"融合爵士乐,城市流行音乐","Sony Music Direct (Japan) Inc.",0.757,0.553,7,-9.086,1,0.0481,0.0867,0.0000251,0.0699,0.603,96.16,4
spotify:track:4wPn2IL3Ldv2PhdgBISnKd,"夏光線、キラッ。","Pacific High / Aleutian Low","HITOMITOI",2012-06-12,292226,12,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:27Z,"城市流行音乐,融合爵士乐,涩谷系","Billboard JAPAN Records",0.743,0.569,0,-8.154,0,0.0479,0.0259,0.000172,0.078,0.696,101.943,4
spotify:track:1ieDsFmQ8UOXyB0ewolkXH,"DOWN TOWN","DOWN TOWN","EPO",1980-03-21,254213,49,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:28Z,"城市流行音乐,歌谣曲","Sony Music Direct (Japan) Inc.",0.866,0.578,0,-10.573,1,0.0406,0.393,0.00185,0.0418,0.937,119.599,4
