Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7hw7tRlcIl25yHg9x1Exjv,"Veronica","Bubblefunk","Timid Soul",2014-12-15,138846,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:45Z,"bedroom pop","Timid Soul",0.672,0.725,2,-7.976,1,0.0505,0.698,0.875,0.0594,0.229,150.128,4
spotify:track:2ZdJNjf4CvFVXHQNqrRFZP,"","Pure Pure","",2015-08-11,0,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:47Z,"","& Moe Shop",0.666,0.729,11,-9.28,0,0.109,0.000262,0.000173,0.347,0.256,115.021,3
spotify:track:4Mys46sCuF8WcskumKC2Of,"Take My Love","Bae","Yung Bae",2014-07-18,136180,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:53Z,"蒸汽波,城市流行音乐,nu disco","The Future of Funk",0.658,0.811,3,-5.657,1,0.0736,0.000953,0.404,0.112,0.648,120.018,4
spotify:track:0ttHpMs250dpFkCYAnuhnE,"Good","Deluxe","Better Than Ezra",1995-02-28,185093,66,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:54Z,"","Elektra Records",0.615,0.657,7,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,4
spotify:track:0ZmmCjdy3drOX11zMqcLhd,"Never Fall in Love Again","Lovestory","Desired;ConsciousThoughts",2017-01-08,187820,36,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:55Z,"蒸汽波,城市流行音乐","635296 Records DK",0.553,0.902,0,-5.97,1,0.617,0.00616,0.0152,0.222,0.458,128.061,4
spotify:track:0nn4HcPFwEeeABYUsmSu5b,"Flowers","Flavored","Pop Up!",2016,166857,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:58Z,"蒸汽波,法国浩室,城市流行音乐","businesscasual",0.783,0.707,1,-6.39,1,0.133,0.313,0.00305,0.079,0.502,104.955,4
spotify:track:3cbgUz3NTglWlY0tuzQiQO,"Vibe","Vibe","MELVV",2015-11-23,144000,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:59Z,"","Yebo Music",0.582,0.619,3,-7.866,1,0.0942,0.0479,0.901,0.115,0.503,80.009,4
spotify:track:2gtzA8NYAz3Eds5GDge9SK,"Itazura KISS","ROMANTIC","Mikazuki BIGWAVE",2020-05-01,232727,7,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:02Z,"城市流行音乐,蒸汽波","Mikazuki BIGWAVE",0.782,0.911,0,-8.831,1,0.303,0.0385,0.000123,0.258,0.418,132.055,4
spotify:track:1FzuMGOq93E1Jle49Gmz0P,"水星(Young & Fresh mix) feat. 仮谷せいら","水星","tofubeats",2012-07-11,273600,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:14Z,"日本说唱,城市流行音乐,日本节奏蓝调,日本独立音乐","tofubeats",0.817,0.556,11,-7.116,1,0.0361,0.0867,0.000279,0.0911,0.381,99.986,4
spotify:track:3nQnPyMciwXfhzhx3pDArb,"Partly 曇った","Miami Virtual","Dan Mason ダン·メイソン",2017-03-02,244299,38,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:33:16Z,"蒸汽波,冷波,合成波","Dan Mason ダン·メイソン",0.643,0.38,11,-11.612,1,0.0341,0.459,0.41,0.301,0.259,69.992,4
