歌曲名,专辑名,艺人名,歌曲译名
GIVE U MY TAPE,GIVE U MY TAPE,VISUDY;阿克江Akin,little airplane
爱,跨世纪金曲精选,莫文蔚,
Broken Bridges,Sweet Liberty,Cara Dillon,
Depart And Eternity Theme,Elegy of the Uprooting,Eleni Karaindrou,
玉珍,玉珍,福禄寿FloruitShow,
清河,清河,白皮书乐队,Tsing River
NaKuNa,NaKuNa,郭采洁,
十二幻夢曲 (Piano Arranged Version)  ,十二国記 夜想月雫~Piano Memories ,梁邦彦,
Dream A Little Dream,Song Book: 20 Jazz Greatest,Laura Fygi,
Let it roll,希游记-藏金版,孙盛希,
thesapientdream,thank you,thesapientdream,
Happy Life,Sewing Kit,Roland Faunte,
Street Lights,808s & Heartbreak,Kanye West,
Flashing Lights,Hip Hop: The 2008 Collection,Kanye West,
Princess Mononoke,THE BEST OF CINEMA MUSIC,久石譲,
By The Sea,Elegy of the Uprooting,Eleni Karaindrou,
Superstar,Xtreme ,Lupe Fiasco;Matthew Santos,
Half Measures,Family Product,H 3 F,
HANA-BI,THE BEST OF CINEMA MUSIC,久石譲,
应该,应该,杨乃文,
虽然,混声 MXTRSNDZ VOL.1,邱比,
菱花,新诃德奇遇记,兰亭乐团,Lotus Mirror
Girl From Heavens,Two Moon Butterflies,Koan,
错过你错过爱,醇选13首精选辑,于台烟;张信哲,
留下,安娜与安娜 电影原声带,许美静,
C'est La Vie,崇拜,梁静茹,
Metal Boy,Metal Boy,charity,
Real,Real,MAJIK,
Goodnight,somewhere between nostalgia and paradise,Shoffy,
Dreamland,Past Is Past,14？,
Island,Spiritual State,Haruka Nakamura;Uyama Hiroto;Nujabes,
Style,Style,Taylor Swift,
天下有情人,天下大乱花木兰之杨佩佩大战金庸戏剧主题曲全记录,齐豫;周华健,
花·心,花·心,周华健,The Flowery Heart
伤心的歌 ,Keep Wakin 1987-2002 周而复始 宣传EP,周华健,
光年之外,光年之外,G.E.M.邓紫棋,
想见你想见你想见你,想见你想见你想见你,八三夭,
伤心的歌(故事口白版) ,Keep Wakin 1987-2002 周而复始 宣传EP,品冠;周华健,
Libertango,My Favorite Songs,葉加瀬太郎;小松亮太,
Tango (Por Una Cabeza),Cinema Serenade,Itzhak Perlman,
手风琴与小提琴,男人帮 电视剧原声带,刘瀚聪,
Libertango,Sounds of Yo-Yo Ma,Yo-Yo Ma,
Libertango,image emotional & relaxing,Yo-Yo Ma,
Gabriel's Oboe,Yo-Yo Ma Plays Ennio Morricone,Yo-Yo Ma,
Song for Zula,Muchacho,Phosphorescent,
華の乱,大奥~華の乱~オリジナル・サウンドトラック,石田勝範,
運命と恋心,犬夜叉 音楽篇,和田薫,
Nature Boy,Nos stars célèbrent le Jazz à Montréal,Celine Dion,
You're Never Too Young,Have A Good Forever,The Cool Notes,
"Paris, je t'aime",Paris Je T'Aime,Soundtrack,
Mondo Bongo,Mr. & Mrs. Smith,Joe Strummer & The Mescaleros,
Concerto pour deux voix,Jeanne La Romantique,Saint-Preux,
Love Theme from the Godfather,The Godfather I,Nino Rota,
滚滚红尘,音乐工厂影视主题曲演奏系列 追梦,陈淑桦;罗大佑,
Let It Rain,Romance,Olivia Ong,
Latika's Theme,Slumdog Millionaire (Music from the Motion Picture),A.R. Rahman,
Being Here (So Confusing),A Beauty To Fight For,The Shadow Project,
"Suite for solo cello No. 1 in G major, BWV 1007: I. Prélude",Elgar Cello Concerto (live in Prague),Jacqueline du Pré,
Dreaming of You,Blurry Lights,Blurry Lights,
Les jours tristes (Instrumental),Le fabuleux destin d'Amélie Poulain,Yann Tiersen,
Brazilian Rhyme (Almost There),Beyond It,Kaoru;DJ SLY,
Say You Love Me,Natural Relax,Tamala,
Mango Kimono,Soul Below,Ljones,
忽然之间,含情莫莫 全精选辑,莫文蔚,
电台情歌,做自己,莫文蔚,Radio Love Songs
Each New Day,Cast Away the Clouds,Rose Melberg,
A Mozart Reincarnated,La Leggenda del Pianista Sull'oceano,Gilda Buttà,
岁月神偷,完美世界,金玟岐,Travel of Time
Go Solo,"The Pleasant Trees (Volumes 1, 2 & 3)",Tom Rosenthal,
Fly Me To The Moon,Time To Swing,Helmut Lotti,
Fly Me To The Moon,A Girl Meets Bossanova,Olivia Ong,
情歌,静茹&情歌 别再为他流泪,梁静茹,
.Yellow,Magnetism,Ive Mendes,
The Marriage Of Figaro / "Duettino - Sull 'Aria",The Shawshank Redemption (Original Motion Picture Soundtrack),Karl Böhm;Orchester der Deutschen Oper Berlin,
Champagne Kisses (Darius Remix),Champagne Kisses (Darius Remix),Darius;Jessie Ware,
Nee joh,Het Is,Eefje de Visser,
Beauty Of Love,Beauty of Love,Shardad Rohani,
多远都要在一起,新的心跳,G.E.M.邓紫棋,Long Distance
Where Is Your Love,Where Is Your Love,J. Lisk,
勿忘你 (Live),The GREAT YOGA 演唱会数位Live精选,林宥嘉,
Always Only You,Violin Virtuosity,Jim Brandmeier,
Autumn Leaves,20 Best of 101 Strings,101 Strings Orchestra,
Satie: Gymnopedie No.1,Mezzo E Mezzo,Maksim Mrvica,萨蒂: 裸体歌舞No.1
Satie : Gymnopédie N°1,dream,Ophélie Gaillard,
Gymnopedie I,Serenity,Erik Satie,
Satie: 3 Gymnopédies - I. Lent et douloureux,Best of Satie,Aldo Ciccolini,
"Haydn Piano Concerto in D,Hob.XVIII11 Vivace",Shostakovich: Piano Concerto No. 1; Haydn: Piano Concerto No. 11 ,Martha Argerich,
"Johann Sebastian Bach: Das Wohltemperierte Klavier, Book 1, BWV 846-869 - Präludium c-Moll, BWV 847",Bach: Das Wohltemperierte Clavier,András Schiff,
Portraits Pt. 2,Portraits,Keith Kenniff,
I Am the Changer,Paranoid Cocoon,Cotton Jones,
Honey,Honey,Running Blue,
飞 (Live),The GREAT YOGA 演唱会数位Live精选,林宥嘉,
Merry Christmas Mr. Lawrence,Cinematique,Chris Minh Doky,
Por Una Cabeza,Scent of a Woman,Thomas Newman,
I Could Hear the Water at the Edge of All Things,Oblivion Hymns,Hammock,
Shore,Stranger,Balmorhea,
Luv (sic.)pt3,Modal Soul,Shing02;Nujabes,
