歌单名,简介,歌曲名,艺人名,推荐语,,,,,,,
我的2020年度音乐回忆,这是2020年度我在虾米上最爱的30首歌，它们凝结了过去一年的珍贵回忆，是四季的交响曲。2020实属不易，还好有音乐相伴朝夕。,,,,,,,,,,
,,多远都要在一起,G.E.M.邓紫棋,,,,,,,,
,,暧 (Tensions),孙盛希 / ØZI,,,,,,,,
,,如燕,Olivia Ong,,,,,,,,
,,想见你想见你想见你,八三夭,,,,,,,,
,,"Paris, je t'aime",Soundtrack,,,,,,,,
,,一步成诗,王诗安,,,,,,,,
,,Loneliness,Blank & Jones,,,,,,,,
,,Nee joh,Eefje de Visser,,,,,,,,
,,一场游戏一场梦,王杰,,,,,,,,
,,REALiTi (Demo),Grimes,,,,,,,,
,,REALiTi,Grimes,,,,,,,,
,,C'est La Vie,梁静茹,,,,,,,,
,,III,Athletics,,,,,,,,
,,Por Una Cabeza,Thomas Newman,,,,,,,,
,,Island,Haruka Nakamura / Uyama Hiroto / Nujabes,,,,,,,,
,,丝路,梁静茹,,,,,,,,
,,Mondo Bongo,Joe Strummer & The Mescaleros,,,,,,,,
,,Tango (Por Una Cabeza),Itzhak Perlman,,,,,,,,
,,至幸,S.E.N.S.,,,,,,,,
,,That's the Way Love Goes,Janet Jackson,,,,,,,,
,,Be A Body (侘寂),Grimes,,,,,,,,
,,Where Is Your Love,J. Lisk,,,,,,,,
,,Libertango,葉加瀬太郎 / 小松亮太,,,,,,,,
,,望江亭,王诗安,,,,,,,,
,,HANA-BI,久石譲,,,,,,,,
,,Style,Taylor Swift,,,,,,,,
,,夜空ノムコウ  ,Sotte Bosse,,,,,,,,
,,I Could Hear the Water at the Edge of All Things,Hammock,,,,,,,,
,,Satie : Gymnopédie N°1,Ophélie Gaillard,,,,,,,,
,,Let it roll,孙盛希,,,,,,,,
,,,,,,,,,,,
适合午后,夏日午后的困倦、迷离与绿意盎然 ,,,,,,,,,,
,,Behind,黄淑惠,,,,,,,,
,,一步成诗,王诗安,,,,,,,,
,,伤心的歌(故事口白版) ,品冠 / 周华健,,,,,,,,
,,,,,,,,,,,
我的2019年度音乐回忆,这是2019年度我在虾米上最爱的30首歌，关于这一年所有珍贵的回忆都在这些音乐里。浮生若梦，对酒当歌，希望2020是闪闪发光无比璀璨的一年~~通往回忆的大门已打开，欢迎光临虾米拾忆酒馆：https://h5.xiami.com/app/xiami-h5/h5-xiami-data-inventory/data/index.html,,,,,,,,,,
,,一步成诗,王诗安,,,,,,,,
,,丝路,梁静茹,,,,,,,,
,,Sex Therapy,Robin Thicke,,,,,,,,
,,Lost Stars,Adam Levine,,,,,,,,
,,Loneliness,Blank & Jones,,,,,,,,
,,III,Athletics,,,,,,,,
,,NoNoNo (Japanese Ver.),Apink,,,,,,,,
,,电梯,郁可唯,,,,,,,,
,,美♂-K $タすpAd,澤野弘之,,,,,,,,
,,Touch,Barcelona,,,,,,,,
,,짧은 치마,AOA,,,,,,,,
,,躲猫猫 (Peek-A-Boo),Red Velvet,,,,,,,,
,,至幸,S.E.N.S.,,,,,,,,
,,偿还 / 红豆 (Live),王菲,,,,,,,,
,,Melody (Live),陶喆,,,,,,,,
,,十二幻夢曲 (Piano Arranged Version)  ,梁邦彦,,,,,,,,
,,My Way,Calvin Harris,,,,,,,,
,,Attention,Charlie Puth,,,,,,,,
,,Cool Kids (KLYMVX Remix),KLYMVX / Echosmith,,,,,,,,
,,WEE WOO,PRISTIN,,,,,,,,
,,FAKE LOVE (Japanese version) (Remix),防弹少年团,,,,,,,,
,,Silent Love (Main Theme),久石譲,,,,,,,,
,,Sorry,艾福杰尼,,,,,,,,
,,第三者,梁静茹,,,,,,,,
,,碧海潮生曲,西皮士,,,,,,,,
,,海枯石烂,Olivia Ong,,,,,,,,
,,Shadow,朱婧汐,,,,,,,,
,,为你我受冷风吹 (Live),梁静茹,,,,,,,,
,,店小二,S.H.E,,,,,,,,
,,大眠,王心凌,,,,,,,,
,,,,,,,,,,,
天山下,,,,,,,,,,,
,,心中的日月,王力宏,,,,,,,,
,,月牙湾,F.I.R.,,,,,,,,
,,丝路,梁静茹,,,,,,,,
,,,,,,,,,,,
2019.5.15,,,,,,,,,,,
,,It's Rained All Day,Jaeden Camstra,,,,,,,,
